depth(m) lower_95(kyr) lower_68(kyr) median(kyr) mean(kyr) upper_68(kyr) upper_95(kyr)
0.220000 6.638597 6.996779 7.288799 7.274900 7.547070 7.876371
0.300000 7.906317 8.260619 8.560273 8.580188 8.904684 9.316062
0.400000 8.753328 9.207167 9.555319 9.565390 9.930804 10.364447
0.730000 12.916723 13.286706 13.618596 13.655631 14.019417 14.640230
1.000000 13.760902 14.250190 14.721278 14.709666 15.142256 15.625873
1.100000 14.321032 14.997599 15.437611 15.420206 15.857178 16.374393
1.300000 15.310201 15.865404 16.278105 16.269635 16.683501 17.160914
1.700000 17.711826 18.267767 18.663136 18.664383 19.076831 19.612287
2.000000 20.493079 21.118384 21.667807 21.651774 22.165052 22.745649
2.200000 22.164122 22.815742 23.348616 23.351184 23.881048 24.623526
2.400000 23.525821 24.354163 25.031692 25.010082 25.647300 26.386869
