depth(m) lower_95(kyr) lower_68(kyr) median(kyr) mean(kyr) upper_68(kyr) upper_95(kyr)
0.525000 8.357358 8.730185 9.109033 9.112456 9.460928 9.962041
0.655000 9.774497 10.315827 10.754602 10.753957 11.160861 11.783655
0.755000 11.214487 11.724712 12.189479 12.152690 12.562431 12.975853
0.855000 12.251328 12.792973 13.108820 13.133009 13.476612 14.077006
0.955000 13.192743 13.660485 14.120678 14.155138 14.678109 15.242274
1.005000 13.608472 14.089382 14.540182 14.540972 14.980869 15.477267
1.105000 16.934081 17.405011 17.782396 17.765516 18.111338 18.546422
1.205000 17.317783 17.895679 18.317036 18.299761 18.686103 19.225186
1.505000 22.412809 23.019195 23.508930 23.515481 24.016242 24.713080
1.705000 27.090624 27.719637 28.278127 28.292225 28.870345 29.637876
2.205000 38.478187 40.651876 42.269055 42.232359 43.864690 45.731103
