depth(m) lower_95(kyr) lower_68(kyr) median(kyr) mean(kyr) upper_68(kyr) upper_95(kyr)
0.010000 0.014798 0.092513 0.256873 0.285882 0.464153 0.750989
0.020000 0.066306 0.283616 0.496611 0.510597 0.723164 1.069175
0.220000 4.390122 4.786614 5.094405 5.084134 5.379756 5.742996
0.610000 8.633620 9.059218 9.377975 9.385253 9.715857 10.164558
0.710000 9.429849 9.791383 10.150925 10.161538 10.517707 10.991799
0.810000 9.955828 10.375703 10.728010 10.733075 11.074321 11.562536
0.900000 10.584034 11.061902 11.418253 11.421171 11.792567 12.245666
0.910000 10.614171 11.092563 11.446368 11.448048 11.823540 12.286637
0.960000 11.289566 11.733823 12.107267 12.080991 12.431776 12.706767
0.970000 11.323469 11.750845 12.127958 12.101570 12.445799 12.731034
1.070000 12.023927 12.568186 12.833492 12.822452 13.095810 13.457046
1.110000 12.408088 12.790653 13.044121 13.053835 13.316750 13.736941
1.170000 13.181557 13.527903 13.856136 13.898361 14.279061 14.814405
1.260000 14.003720 14.450156 14.898535 14.876991 15.274845 15.735203
1.270000 14.139970 14.649633 15.101193 15.073592 15.469901 15.924579
1.320000 15.030644 15.489189 15.836019 15.829875 16.176071 16.605417
1.410000 15.657784 16.128612 16.473018 16.467473 16.816015 17.227837
1.430000 15.950387 16.380331 16.713109 16.708246 17.029579 17.436584
1.560000 17.502579 17.985921 18.305148 18.291435 18.596081 18.965350
1.570000 17.891711 18.301441 18.621992 18.618904 18.929790 19.374310
1.630000 18.693811 19.040527 19.353776 19.364687 19.696515 20.108474
1.630000 19.016806 19.409073 19.749506 19.746550 20.084055 20.458644
1.810000 22.046875 22.438757 22.754588 22.759434 23.085212 23.553594
1.810000 22.203928 22.575551 22.892120 22.898498 23.223467 23.637867
