depth(m) lower_95(kyr) lower_68(kyr) median(kyr) mean(kyr) upper_68(kyr) upper_95(kyr)
0.080000 1.520111 1.883288 2.188130 2.194093 2.512108 2.891528
0.200000 5.296597 5.661254 5.943562 5.944031 6.226918 6.605958
0.520000 9.632564 10.059094 10.409651 10.414743 10.780053 11.199479
0.870000 13.345104 13.711502 14.080372 14.113458 14.540288 15.004301
0.970000 13.786571 14.203130 14.620606 14.619585 15.025122 15.489812
1.720000 17.798909 18.268884 18.613631 18.616112 18.974359 19.450918
2.090000 22.492884 23.162930 23.724771 23.734073 24.304654 25.042620
2.740000 27.632635 27.998285 28.381463 28.380907 28.744162 29.179526
2.920000 30.140794 30.664702 31.088800 31.115882 31.537555 32.403288
3.370000 34.002628 34.705686 35.314329 35.329957 35.940776 36.825983
3.840000 32.995664 35.215363 37.243142 37.192565 39.194337 41.021272
4.620000 39.826081 41.062085 41.814425 41.761188 42.431230 43.609627
