depth(m) lower_95(kyr) lower_68(kyr) median(kyr) mean(kyr) upper_68(kyr) upper_95(kyr)
0.115000 4.133168 4.517817 4.843295 4.837359 5.165678 5.502622
0.155000 7.213971 7.502612 7.738603 7.751444 7.995214 8.351393
0.195000 7.848978 8.166960 8.442977 8.464497 8.770096 9.149715
0.235000 11.346568 11.828234 12.198183 12.163899 12.504384 12.789977
0.475000 15.828327 16.249556 16.579283 16.572127 16.895826 17.266499
0.495000 16.042876 16.461704 16.793122 16.784217 17.106369 17.504127
0.535000 16.323495 16.748867 17.075710 17.071131 17.394979 17.804727
0.675000 18.031621 18.376125 18.676646 18.675499 18.960568 19.364330
0.775000 18.643924 18.973745 19.283465 19.290921 19.603320 20.005634
0.815000 18.443244 18.952170 19.360280 19.378793 19.814598 20.350610
0.875000 19.538815 19.964321 20.293086 20.293912 20.620272 21.048637
1.035000 21.189980 21.650449 21.993001 21.965485 22.265821 22.637980
