depth(m) lower_95(kyr) lower_68(kyr) median(kyr) mean(kyr) upper_68(kyr) upper_95(kyr)
0.105000 3.836394 4.231606 4.564215 4.555352 4.866773 5.266737
0.155000 6.150426 6.472523 6.751667 6.749373 7.031724 7.344202
0.205000 8.476929 8.855067 9.193038 9.192383 9.497178 9.979744
0.255000 10.498571 10.961412 11.323457 11.332862 11.706598 12.209275
0.305000 12.423350 12.777747 13.018305 13.029418 13.281063 13.695640
0.355000 13.239296 13.567554 13.884711 13.920869 14.283005 14.815197
0.405000 13.532880 13.903010 14.271980 14.286149 14.685780 15.092199
0.455000 14.264938 14.822383 15.195222 15.174540 15.536522 15.943843
0.555000 16.891879 17.287903 17.597733 17.590130 17.900925 18.231489
0.605000 17.687179 18.092981 18.362162 18.355073 18.617431 18.942632
0.705000 19.181133 19.582353 19.904312 19.898194 20.212079 20.609161
0.755000 19.663821 20.080681 20.390359 20.393406 20.708212 21.139847
0.805000 20.381230 20.768141 21.087855 21.097961 21.438039 21.856455
