depth(m) lower_95(kyr) lower_68(kyr) median(kyr) mean(kyr) upper_68(kyr) upper_95(kyr)
0.005000 2.354629 2.759606 3.054190 3.056125 3.356110 3.766088
0.005000 3.104222 3.480843 3.786195 3.795291 4.113182 4.516867
0.885000 3.843082 4.251701 4.581604 4.575293 4.892189 5.270261
1.405000 7.417025 7.710940 7.965517 7.979306 8.237456 8.648957
1.665000 6.525596 6.891335 7.164416 7.153950 7.414010 7.727915
1.665000 9.163941 9.556003 9.871552 9.882277 10.192330 10.656111
2.005000 7.446559 7.746672 8.006497 8.013736 8.273670 8.672972
2.005000 8.575897 8.971790 9.283044 9.285255 9.593212 10.052397
2.245000 11.864182 12.354503 12.681658 12.649926 12.942964 13.263826
2.335000 13.398728 13.769386 14.115861 14.150657 14.563758 15.024374
2.705000 14.903004 15.355443 15.699350 15.690271 16.026153 16.433528
2.925000 16.286359 16.687393 17.023271 17.018702 17.335999 17.764902
3.245000 18.116103 18.439430 18.753072 18.756615 19.054273 19.454692
3.685000 21.816608 22.216417 22.493495 22.496050 22.788863 23.151592
4.045000 23.974707 24.351453 24.711748 24.702068 25.033323 25.425507
