depth(m) lower_95(kyr) lower_68(kyr) median(kyr) mean(kyr) upper_68(kyr) upper_95(kyr)
0.010000 0.183321 0.458669 0.685199 0.700918 0.937287 1.265750
0.300000 0.660073 0.989324 1.302288 1.322033 1.644010 2.131880
0.590000 1.874508 2.289562 2.607993 2.603372 2.925355 3.308902
0.650000 1.798513 2.189426 2.522334 2.521202 2.840313 3.245298
0.850000 2.573375 2.964358 3.282109 3.288017 3.606757 4.032203
1.020000 3.816034 4.202336 4.534368 4.534086 4.851234 5.250765
1.030000 3.858092 4.350597 4.743074 4.733134 5.128232 5.533875
1.130000 4.267692 4.684389 5.014926 5.003073 5.317194 5.664230
1.550000 7.458768 7.782944 8.061459 8.078410 8.359596 8.829669
1.750000 8.913689 9.439095 9.816483 9.826912 10.211395 10.797910
2.020000 10.929476 11.773783 12.387892 12.341616 12.889899 13.531773
2.830000 13.548283 13.978076 14.398797 14.414495 14.852930 15.333477
2.830000 13.300233 13.636597 13.955569 13.996834 14.388038 14.851644
3.890000 16.100352 16.638525 17.091432 17.083330 17.535669 18.026608
5.410000 17.099021 17.535920 17.928143 17.911176 18.254182 18.680116
6.510000 17.235036 18.083301 18.692053 18.703644 19.345536 20.148407
7.310000 18.838770 19.251286 19.624888 19.625263 19.992648 20.410174
8.510000 19.430391 19.857775 20.226238 20.223624 20.578737 21.056132
8.510000 19.644282 20.145271 20.525850 20.530001 20.913085 21.470813
10.520000 20.497917 20.936727 21.327114 21.330895 21.741868 22.137151
13.020000 22.373906 22.803937 23.147792 23.151842 23.521377 23.927176
14.505000 22.958708 23.397685 23.790182 23.793546 24.177313 24.700602
17.265000 25.584437 26.003305 26.365480 26.371984 26.761341 27.130601
17.730000 25.513061 25.932964 26.271953 26.287592 26.683518 27.064719
18.375000 27.011807 27.515846 27.945803 27.964477 28.427317 28.996315
19.000000 28.923893 29.472851 29.954710 29.945128 30.415947 30.888482
19.910000 34.218910 34.942337 35.636021 35.665035 36.336671 37.447999
20.400000 36.372262 37.581898 38.826937 38.724949 39.805962 40.794087
21.000000 39.120097 40.622293 41.614910 41.534094 42.385924 43.728997
21.000000 39.385151 39.975142 40.501318 40.461449 40.936005 41.453162
21.670000 41.405724 42.977770 44.440349 44.541741 46.129877 48.251078
