depth(m) lower_95(kyr) lower_68(kyr) median(kyr) mean(kyr) upper_68(kyr) upper_95(kyr)
0.030000 0.006001 0.039666 0.140010 0.183554 0.321797 0.590763
0.980000 4.733674 5.138293 5.456802 5.440650 5.736722 6.079076
1.100000 5.512959 5.859650 6.133913 6.134442 6.409621 6.776762
1.630000 8.212583 8.562282 8.889297 8.895926 9.216637 9.610240
1.900000 9.001374 9.415551 9.733516 9.745328 10.078782 10.526760
2.250000 11.142600 11.598320 12.008165 11.984190 12.370355 12.671737
2.575000 12.969899 13.304714 13.599093 13.634838 13.955119 14.568427
2.900000 15.523158 15.990325 16.349652 16.343944 16.706965 17.092189
3.100000 17.948810 18.319467 18.634623 18.634720 18.934427 19.380859
3.800000 22.719731 23.096678 23.413162 23.408422 23.700777 24.107278
4.200000 25.852149 26.222318 26.601393 26.595091 26.956643 27.353258
4.500000 27.498793 27.948143 28.385905 28.385742 28.799257 29.329731
4.630000 29.551278 30.046198 30.384324 30.379423 30.727922 31.066840
5.080000 31.815287 32.394437 33.038106 32.988616 33.529147 34.010905
5.425000 32.599253 33.777298 34.486409 34.464102 35.171073 36.034653
5.630000 34.956791 35.568524 36.106899 36.140839 36.691099 37.664251
6.180000 38.652263 39.661517 40.299860 40.248551 40.880957 41.493556
6.500000 40.337910 41.701140 42.527418 42.576565 43.569765 44.797045
6.800000 40.027674 42.084709 43.551241 43.604032 45.180798 47.343648
