depth(m) lower_95(kyr) lower_68(kyr) median(kyr) mean(kyr) upper_68(kyr) upper_95(kyr)
0.245000 0.461505 0.726132 0.966703 0.978609 1.224583 1.591235
0.545000 1.408494 1.765128 2.073408 2.080585 2.390587 2.772524
1.045000 3.265414 3.644381 3.965763 3.968773 4.297884 4.693782
1.545000 4.248229 4.681069 5.002857 4.993680 5.304585 5.659122
1.545000 4.313111 4.733481 5.057335 5.041676 5.346284 5.692380
1.845000 5.655895 5.996195 6.272194 6.272939 6.546561 6.898493
2.045000 6.259308 6.582652 6.866867 6.860890 7.132185 7.429152
2.245000 7.391482 7.681873 7.932568 7.943810 8.195349 8.566626
2.845000 8.888196 9.308797 9.616558 9.626704 9.954730 10.351944
3.045000 10.870845 11.317055 11.672673 11.676904 12.053400 12.434654
3.545000 11.324286 11.782373 12.151357 12.122301 12.465447 12.740573
4.585000 14.569662 15.136066 15.484496 15.481853 15.833548 16.292904
4.595000 14.501943 15.064522 15.423137 15.407103 15.764002 16.194215
4.810000 15.051335 15.485074 15.845391 15.838473 16.189516 16.616671
5.385000 16.218883 16.639724 16.965806 16.966091 17.285699 17.733426
5.395000 16.131359 16.560705 16.900663 16.896752 17.229547 17.671476
5.605000 16.703783 17.135860 17.468983 17.461228 17.795851 18.135131
6.405000 18.211698 18.603235 18.896765 18.906034 19.225918 19.667668
6.585000 18.763263 19.116682 19.441951 19.452322 19.786478 20.225661
7.405000 21.009933 21.477831 21.845163 21.821406 22.153999 22.527884
8.000000 22.413854 22.896873 23.278185 23.279525 23.663676 24.162036
8.415000 23.394614 23.832877 24.130973 24.148150 24.485599 24.931127
9.185000 24.964879 25.363475 25.674200 25.659081 25.925574 26.342948
9.215000 24.937855 25.355126 25.672414 25.658353 25.946868 26.340429
10.120000 27.376469 27.859169 28.277026 28.287159 28.710065 29.283017
10.195000 27.596143 27.905472 28.220168 28.224484 28.531331 28.888732
10.480000 28.056674 28.691383 29.136384 29.134081 29.597803 30.074490
10.785000 28.913845 29.261578 29.569791 29.556086 29.846576 30.166165
10.795000 28.750972 29.100810 29.381194 29.383396 29.684754 29.969162
11.750000 31.193810 31.812609 32.458756 32.477837 33.143686 33.884100
11.995000 31.949303 32.624610 33.195672 33.144616 33.640773 34.083768
12.030000 32.238149 32.906113 33.296916 33.263272 33.651965 34.011366
12.160000 32.024320 32.919551 33.553293 33.494072 34.074793 34.690244
12.670000 34.711268 35.455029 36.054302 36.093566 36.732118 37.717600
12.795000 34.373412 34.885901 35.421248 35.436988 35.956191 36.671473
12.830000 35.136040 35.523913 35.879264 35.886597 36.221350 36.741472
13.360000 36.026914 37.171634 38.286506 38.232941 39.251107 40.279371
13.405000 36.147770 36.923893 37.673560 37.684445 38.484811 39.144454
13.510000 36.577114 37.137482 37.656928 37.673700 38.224660 38.805563
13.615000 37.587946 38.715664 39.450894 39.368074 40.013151 40.642368
13.785000 38.077806 39.237178 39.826717 39.781170 40.396380 40.961431
14.040000 38.012084 39.365611 40.073788 40.000688 40.705677 41.373778
14.160000 37.757559 39.446973 40.505376 40.393395 41.378854 42.182509
14.390000 39.656786 40.654617 41.328938 41.243862 41.829173 42.317805
14.740000 42.218182 42.549229 42.868177 42.942005 43.388895 43.979999
14.815000 41.793925 42.727976 43.612570 43.684463 44.623204 46.103749
14.830000 42.311135 43.187337 44.203011 44.279155 45.344636 46.835695
15.350000 45.978545 47.349832 48.691300 48.770352 50.157820 51.938097
15.405000 43.277665 45.111204 46.873222 46.947380 48.776035 51.201206
15.460000 44.869078 45.883815 46.778680 46.848229 47.796579 49.337887
15.480000 44.818855 46.639026 48.656000 48.756762 50.897312 53.337734
15.815000 44.131000 45.911508 47.789255 47.914330 49.936086 52.306236
15.980000 46.414369 48.318877 50.191437 50.249187 52.165475 54.302607
