depth(m) lower_95(kyr) lower_68(kyr) median(kyr) mean(kyr) upper_68(kyr) upper_95(kyr)
0.170000 0.099934 0.329485 0.560048 0.574874 0.808111 1.157193
0.290000 0.303599 0.574260 0.807335 0.821961 1.063860 1.405273
0.530000 0.502358 0.760929 1.002745 1.015420 1.261794 1.613911
0.650000 1.404086 1.742306 2.045637 2.056426 2.368297 2.754505
0.750000 0.908777 1.258819 1.527228 1.539435 1.826060 2.213364
0.890000 3.479841 3.878665 4.217498 4.218758 4.556087 4.967115
1.010000 3.388225 3.787244 4.122249 4.120119 4.448629 4.861049
1.230000 4.490505 4.888172 5.193128 5.183024 5.484017 5.818151
1.580000 6.769290 7.133663 7.390627 7.388145 7.641037 7.979893
1.860000 7.327045 7.638051 7.882580 7.894682 8.157150 8.517277
2.020000 9.151351 9.560851 9.884064 9.897373 10.223665 10.704112
2.300000 10.825804 11.281424 11.619459 11.628065 11.997241 12.397451
2.590000 12.555214 12.858539 13.104426 13.120077 13.375599 13.793686
2.780000 12.519627 12.853469 13.110186 13.119091 13.377801 13.791169
3.240000 13.872068 14.306711 14.728831 14.715660 15.102523 15.548926
3.280000 16.404532 16.841770 17.170924 17.169479 17.517631 17.904389
3.500000 18.347139 18.747216 19.031655 19.040557 19.337098 19.777299
4.120000 22.440034 22.797614 23.093632 23.098630 23.416950 23.729709
