depth(m) lower_95(kyr) lower_68(kyr) median(kyr) mean(kyr) upper_68(kyr) upper_95(kyr)
0.125000 0.217327 0.553642 0.852689 0.887222 1.206068 1.733185
0.298000 0.646064 0.945081 1.216190 1.232391 1.513307 1.924740
0.497500 2.365915 2.823281 3.155537 3.158580 3.496611 3.984372
0.695000 3.883735 4.531848 5.020227 5.001421 5.470028 5.983459
0.898000 5.023811 5.494404 5.837099 5.829239 6.167269 6.578590
1.110000 6.736224 7.166813 7.486740 7.483390 7.793468 8.235961
1.295000 7.638199 8.004099 8.305994 8.331418 8.675915 9.134408
1.410000 8.901007 9.379224 9.753844 9.760455 10.134907 10.646946
1.495000 9.634287 10.148284 10.546831 10.555640 10.979622 11.494825
1.695000 11.067803 11.529470 11.990962 11.959456 12.372128 12.702897
1.800000 10.832050 11.385141 11.838196 11.822773 12.270885 12.631811
1.895000 11.347410 11.907817 12.336136 12.295584 12.668120 13.044441
2.000000 11.697090 12.325941 12.728657 12.702645 13.066855 13.554607
2.085000 12.740512 13.172081 13.547218 13.595327 14.018399 14.738098
2.295000 13.334352 13.768753 14.224108 14.243336 14.734621 15.245538
2.495000 13.578909 14.050809 14.493882 14.499680 14.949353 15.467057
2.600000 13.774183 14.303415 14.830326 14.807800 15.275224 15.826066
2.800000 14.973081 15.575216 16.045872 16.030488 16.491340 16.983282
2.990000 15.543449 16.100151 16.519160 16.515444 16.935333 17.482357
3.295000 16.327333 16.897156 17.322947 17.313263 17.744648 18.185765
3.600000 16.995114 17.576048 18.059256 18.040607 18.497275 19.009047
4.000000 19.184617 19.758981 20.244747 20.241629 20.707383 21.331558
4.410000 18.211338 18.734133 19.156636 19.170304 19.626844 20.216301
5.210000 23.533405 24.086852 24.544946 24.533310 24.979663 25.502546
5.510000 21.873781 22.427007 22.830817 22.845103 23.288504 23.808547
6.310000 25.772513 26.207566 26.620672 26.607847 27.006864 27.400532
6.910000 24.639481 25.225963 25.641730 25.628559 26.022225 26.619562
