depth(m) lower_95(kyr) lower_68(kyr) median(kyr) mean(kyr) upper_68(kyr) upper_95(kyr)
0.030000 3.006604 3.306985 3.562478 3.547793 3.793841 4.019181
0.100000 3.731967 3.965887 4.206809 4.239593 4.513119 4.804957
0.200000 7.848750 8.120808 8.390565 8.408570 8.728154 8.982624
0.285000 9.571954 10.240734 11.564795 11.591671 12.929524 13.727378
0.370000 13.875416 14.245059 14.607448 14.619908 15.010085 15.344941
0.470000 15.145705 15.890742 16.567911 16.576221 17.286647 18.005046
0.570000 16.757325 17.562816 18.195206 18.152551 18.783452 19.284543
0.670000 18.894234 19.197580 19.504745 19.504699 19.816425 20.114408
0.800000 20.072381 20.722571 21.223289 21.236824 21.778851 22.407943
0.930000 22.574615 22.856834 23.097216 23.111245 23.385635 23.685315
1.065000 24.025071 24.835628 25.436436 25.422500 25.934267 26.841096
1.200000 27.363194 27.567548 27.787339 27.808516 28.077735 28.393830
1.315000 28.551951 29.225523 29.670666 29.695205 30.244329 30.802838
1.430000 30.870848 31.099570 31.330671 31.344133 31.586100 31.881950
1.515000 31.670721 32.114253 32.513158 32.504010 32.870760 33.367681
1.600000 33.108919 33.417899 33.704629 33.691342 33.971552 34.161390
1.685000 34.174386 34.596328 35.025579 35.014217 35.389503 35.914934
1.770000 35.770060 36.108771 36.356830 36.355008 36.623142 36.888706
1.900000 37.341046 37.805385 38.302119 38.254104 38.654944 38.962563
