depth(m) lower_95(kyr) lower_68(kyr) median(kyr) mean(kyr) upper_68(kyr) upper_95(kyr)
0.220000 6.994795 7.225000 7.438670 7.442631 7.646114 7.898397
0.300000 8.026285 8.224858 8.430890 8.440575 8.665575 8.871325
0.400000 9.066663 9.271336 9.517928 9.535572 9.795071 10.113861
0.510000 9.933893 10.404259 10.879839 10.996208 11.649176 12.474169
0.620000 11.013196 11.718482 12.369838 12.305338 12.900852 13.327087
0.730000 12.950363 13.205041 13.468587 13.466489 13.714774 13.986551
0.865000 13.631183 13.930209 14.215502 14.223233 14.528003 14.817006
1.000000 14.369777 14.622264 14.871615 14.862760 15.104403 15.337672
1.100000 14.913196 15.153195 15.373207 15.373650 15.595222 15.828114
1.200000 15.368149 15.604192 15.856119 15.862611 16.121677 16.380543
1.300000 15.865709 16.078784 16.350047 16.354542 16.613773 16.899972
1.433333 16.366177 16.690221 17.045504 17.060988 17.415493 17.844361
1.566667 17.109697 17.455226 17.830213 17.837139 18.224217 18.692329
1.700000 18.135185 18.437539 18.732720 18.742249 19.061630 19.385452
1.800000 18.749928 19.190137 19.607646 19.647305 20.098452 20.753458
1.900000 19.620142 20.103694 20.622533 20.604788 21.107956 21.592118
2.000000 20.830799 21.243853 21.620211 21.607715 21.980156 22.249058
2.100000 21.656225 22.108085 22.491231 22.471052 22.821400 23.248492
2.200000 22.622083 23.000031 23.351219 23.335617 23.677335 23.962981
2.300000 23.266382 23.739168 24.164408 24.166120 24.590561 25.036138
2.400000 24.061100 24.465806 24.953067 24.950061 25.439256 25.826674
