depth(m) lower_95(kyr) lower_68(kyr) median(kyr) mean(kyr) upper_68(kyr) upper_95(kyr)
0.525000 8.554715 8.855030 9.174971 9.159545 9.443900 9.749329
0.655000 10.272400 10.579566 10.828727 10.829351 11.080989 11.347821
0.755000 11.514416 11.783847 12.061114 12.057759 12.337409 12.578850
0.855000 12.666668 12.865013 13.074628 13.080055 13.288155 13.565803
0.955000 13.553595 13.806788 14.071626 14.092012 14.396269 14.680190
1.005000 14.185496 14.452438 14.782355 14.786215 15.106862 15.455928
1.105000 16.747220 17.173925 17.491949 17.481845 17.801941 18.077153
1.205000 17.880974 18.172119 18.484088 18.478555 18.760430 19.113787
1.305000 18.646908 19.187614 19.847475 19.866600 20.487301 21.311470
1.405000 20.046319 20.805364 21.574699 21.554525 22.202320 23.047173
1.505000 22.706361 23.183365 23.559478 23.571365 23.968739 24.468521
1.605000 24.381179 25.220913 25.813128 25.823286 26.471470 27.225834
1.705000 27.331982 27.764357 28.224700 28.234108 28.699871 29.238899
1.830000 29.187187 30.256495 31.422789 31.707973 33.245025 35.637461
1.955000 31.297324 33.259730 34.992487 35.118098 37.026668 39.385517
2.080000 34.453032 36.530153 38.531938 38.393937 40.193184 41.936856
2.205000 37.749381 39.948417 41.730432 41.559704 43.061319 44.582014
