depth(m) lower_95(kyr) lower_68(kyr) median(kyr) mean(kyr) upper_68(kyr) upper_95(kyr)
0.010000 0.042920 0.177795 0.317831 0.313228 0.444676 0.562813
0.020000 0.183740 0.315562 0.453164 0.448972 0.575486 0.706359
0.120000 1.065091 1.737801 2.669033 2.730022 3.811619 4.414473
0.220000 4.447101 4.750661 5.013952 5.009819 5.282023 5.490860
0.350000 5.562477 6.184797 6.699316 6.722942 7.257144 7.965327
0.480000 6.956276 7.664150 8.199464 8.164136 8.682260 9.093118
0.610000 8.862043 9.129744 9.354811 9.353806 9.575693 9.823145
0.710000 9.675407 9.909519 10.116328 10.115583 10.332456 10.511015
0.810000 10.401971 10.594122 10.786874 10.786476 10.982988 11.141916
0.900000 11.119649 11.273875 11.452512 11.450225 11.620990 11.791343
0.910000 11.228414 11.378943 11.539708 11.539169 11.699485 11.868322
0.960000 11.661500 11.830357 12.000797 12.003867 12.176328 12.348771
0.970000 11.745698 11.917188 12.080659 12.092487 12.274512 12.447764
1.070000 12.505013 12.674859 12.823241 12.822955 12.974963 13.136015
1.110000 12.829751 12.988256 13.136258 13.143112 13.298972 13.494502
1.170000 13.434134 13.631624 13.806509 13.818937 14.006574 14.249123
1.260000 14.540969 14.760758 14.967330 14.955774 15.147363 15.313371
1.270000 14.680456 14.901033 15.101096 15.087765 15.274621 15.455490
1.320000 15.273084 15.487306 15.676539 15.681426 15.880689 16.108956
1.410000 16.146212 16.350659 16.531505 16.531745 16.727558 16.872863
1.430000 16.361325 16.585641 16.772472 16.764073 16.953944 17.105644
1.560000 18.093190 18.253341 18.429944 18.418645 18.576022 18.702349
1.570000 18.251975 18.407794 18.586968 18.575454 18.731550 18.847802
1.630000 19.143290 19.315206 19.495896 19.503446 19.697646 19.902854
1.720000 20.249477 20.668139 21.238085 21.229519 21.775264 22.233500
1.810000 22.394644 22.567760 22.753402 22.756989 22.937847 23.148240
