depth(m) lower_95(kyr) lower_68(kyr) median(kyr) mean(kyr) upper_68(kyr) upper_95(kyr)
0.060000 1.238050 1.492938 1.851098 1.890822 2.291355 2.823042
0.183333 1.558872 1.865277 2.305281 2.352584 2.850622 3.414413
0.306667 1.965865 2.330270 2.836078 2.849508 3.361965 3.866930
0.430000 2.392590 2.885127 3.368454 3.369475 3.905266 4.347803
0.553333 2.954740 3.413141 3.942876 3.914887 4.400876 4.770945
0.676667 3.660168 4.001710 4.472863 4.434578 4.827333 5.106461
0.800000 4.437872 4.717857 4.962138 4.955239 5.195879 5.412259
0.920000 4.760281 5.034969 5.326405 5.351907 5.674421 6.028091
1.040000 5.080228 5.380927 5.746717 5.757118 6.148189 6.480487
1.160000 5.403829 5.772676 6.191377 6.166599 6.556617 6.799500
1.280000 5.883146 6.261932 6.606268 6.570376 6.876276 7.108994
1.400000 6.512337 6.765076 6.967593 6.959291 7.163386 7.377907
1.520000 6.718815 6.992948 7.229781 7.223205 7.451709 7.705128
1.640000 6.953036 7.241480 7.485942 7.486304 7.732093 7.995127
1.760000 7.246054 7.505398 7.752557 7.750745 7.998506 8.236210
1.880000 7.503859 7.784680 8.007992 8.009741 8.233006 8.457553
2.000000 7.888442 8.079459 8.262234 8.269528 8.456719 8.690398
2.125000 8.112422 8.293419 8.480819 8.499575 8.714848 8.957884
2.250000 8.273491 8.502101 8.711329 8.721156 8.951292 9.204456
2.375000 8.494892 8.718274 8.944594 8.947718 9.178305 9.411115
2.500000 8.727943 8.954260 9.169984 9.166014 9.381657 9.625051
2.625000 8.954716 9.160061 9.376198 9.368140 9.564196 9.774969
2.750000 9.158492 9.388672 9.562461 9.555648 9.732064 9.909230
2.880000 9.330243 9.546837 9.726204 9.712192 9.888670 10.057489
3.010000 9.465272 9.679688 9.862129 9.855300 10.032675 10.184313
3.140000 9.627437 9.820187 9.987962 9.987514 10.170801 10.311895
3.270000 9.756678 9.951792 10.115318 10.114448 10.286429 10.432257
3.400000 9.904480 10.083300 10.242262 10.239279 10.400018 10.536444
3.520000 10.029385 10.194868 10.354131 10.350607 10.509531 10.641215
3.640000 10.116039 10.305808 10.463269 10.458718 10.618175 10.742537
3.760000 10.244183 10.412189 10.571930 10.566930 10.719428 10.851679
3.880000 10.385312 10.518256 10.674855 10.672003 10.823529 10.937626
4.000000 10.494558 10.622364 10.772926 10.772456 10.916574 11.040509
4.133333 10.607269 10.732603 10.888137 10.883545 11.018580 11.159651
4.266667 10.727012 10.847949 11.004053 10.994190 11.125742 11.254982
4.400000 10.828753 10.962147 11.111235 11.105212 11.234571 11.361300
4.520000 10.926613 11.054392 11.206224 11.198022 11.326667 11.458227
4.640000 11.027321 11.154428 11.294589 11.291251 11.427093 11.567060
4.760000 11.120250 11.250521 11.383252 11.383185 11.513670 11.657551
4.880000 11.208314 11.348294 11.473813 11.476453 11.603230 11.772495
5.000000 11.313181 11.444959 11.566882 11.570553 11.694448 11.862786
5.100000 11.386331 11.520489 11.640569 11.648340 11.774052 11.943634
5.200000 11.463915 11.595085 11.722798 11.723271 11.848362 12.004805
5.300000 11.534531 11.678199 11.803188 11.803355 11.922325 12.094732
5.400000 11.619159 11.753551 11.880968 11.882175 12.004323 12.178293
5.543750 11.714086 11.849908 11.982874 11.985177 12.104802 12.298851
5.687500 11.814028 11.945002 12.078016 12.087807 12.223886 12.421337
5.831250 11.912670 12.051560 12.180397 12.189687 12.323828 12.537478
5.975000 12.017747 12.151389 12.283573 12.292933 12.431398 12.645388
6.118750 12.122633 12.252198 12.386081 12.399741 12.540230 12.760372
6.262500 12.225564 12.362673 12.497464 12.510054 12.652480 12.866336
6.406250 12.329300 12.476707 12.607833 12.625503 12.776242 12.965276
6.550000 12.467131 12.603589 12.731285 12.752485 12.913389 13.107534
6.687500 12.628041 12.760447 12.925335 12.937949 13.116800 13.326343
6.825000 12.798583 12.952133 13.132538 13.148472 13.339219 13.593200
6.962500 12.997853 13.187662 13.367157 13.377393 13.568319 13.799908
7.100000 13.272881 13.446429 13.616050 13.625283 13.810038 14.032966
7.233333 13.510369 13.665556 13.851736 13.866787 14.074036 14.303023
7.366667 13.686906 13.891826 14.089929 14.097806 14.312798 14.541613
7.500000 13.903216 14.100743 14.311346 14.319212 14.537952 14.783372
7.635714 14.062567 14.282775 14.522869 14.522749 14.748795 14.980129
7.771429 14.230585 14.470219 14.723244 14.722617 14.954854 15.199065
7.907143 14.450314 14.668212 14.920360 14.918469 15.154883 15.401301
8.042857 14.613445 14.872490 15.108359 15.100170 15.331167 15.559855
8.178571 14.784984 15.047971 15.289791 15.279929 15.518912 15.752896
8.314286 14.976434 15.215813 15.460488 15.461548 15.706144 15.937838
8.450000 15.166270 15.401314 15.636010 15.638913 15.880088 16.116907
