depth(m) lower_95(kyr) lower_68(kyr) median(kyr) mean(kyr) upper_68(kyr) upper_95(kyr)
0.320000 16.907496 17.216877 17.510503 17.506533 17.789305 18.069709
0.445714 17.505047 17.890620 18.355503 18.402716 18.874994 19.697090
0.571429 18.101438 18.603191 19.328005 19.384068 20.127597 21.054173
0.697143 18.762592 19.469839 20.331397 20.335328 21.221181 22.018634
0.822857 19.541755 20.463103 21.338273 21.286677 22.180110 22.807576
0.948571 20.446050 21.495140 22.307723 22.220096 22.977979 23.437540
1.074286 21.820160 22.684341 23.185525 23.132310 23.631072 23.966487
1.200000 23.365766 23.714657 23.958330 23.954037 24.204694 24.485133
1.333333 23.879159 24.224336 24.575818 24.606108 25.014600 25.458041
1.466667 24.319650 24.718094 25.169294 25.206286 25.682814 26.318708
1.600000 24.800910 25.228878 25.713226 25.769403 26.297724 27.020165
1.733333 25.316578 25.787996 26.285246 26.342531 26.924990 27.680539
1.866667 25.931085 26.413994 26.929515 26.976474 27.555747 28.271138
2.000000 26.612252 27.119104 27.660766 27.722049 28.329543 28.982160
2.128000 27.448377 28.127813 29.025067 29.286929 30.493415 32.672617
2.256000 28.512241 29.386105 30.802621 30.997719 32.670928 34.191460
2.384000 29.749338 31.033330 32.958610 32.848651 34.548050 35.852698
2.512000 31.690700 33.402956 34.901604 34.716738 36.022075 36.948191
2.640000 34.831428 35.638824 36.400824 36.380445 37.113652 37.727713
2.773333 35.933166 36.655235 37.349580 37.317401 37.929811 38.473538
2.906667 36.926788 37.606404 38.189727 38.136363 38.682362 39.110139
3.040000 37.872518 38.423327 38.955370 38.891720 39.327777 39.662842
3.160000 38.344544 38.991751 39.549150 39.524068 40.012698 40.556942
3.280000 38.941127 39.553640 40.107335 40.135743 40.696412 41.443055
3.400000 39.438447 40.120547 40.713931 40.754666 41.398283 42.151922
3.520000 40.080690 40.741682 41.357180 41.419287 42.129799 43.037489
3.640000 40.756700 41.426833 42.061072 42.132390 42.875677 43.868732
