depth(m) lower_95(kyr) lower_68(kyr) median(kyr) mean(kyr) upper_68(kyr) upper_95(kyr)
0.060000 2.215801 2.472810 2.693954 2.698875 2.935130 3.171784
0.090000 3.273064 3.504805 3.742768 3.748029 3.982060 4.250370
0.170000 8.888044 9.129579 9.389365 9.396689 9.661798 10.008232
0.210000 10.630859 10.895993 11.191672 11.208353 11.525950 11.859408
0.250000 12.966373 13.202973 13.432843 13.426826 13.633916 13.910442
0.290000 13.760284 13.997616 14.254892 14.279948 14.602477 14.848960
0.390000 15.118480 15.620925 16.154045 16.168655 16.720058 17.251515
0.490000 17.370785 17.683605 17.993969 17.977998 18.264392 18.504353
0.610000 19.197689 19.435832 19.706340 19.700872 19.957147 20.276097
0.730000 21.010751 21.318350 21.591243 21.574975 21.833671 22.056084
0.850000 24.240441 24.521282 24.806037 24.797783 25.045536 25.375273
