depth(m) lower_95(kyr) lower_68(kyr) median(kyr) mean(kyr) upper_68(kyr) upper_95(kyr)
1.375000 10.205010 10.479847 10.757288 10.762711 11.052461 11.367007
1.511667 10.626078 10.953467 11.336782 11.358789 11.728015 12.366287
1.648333 11.023947 11.404392 11.899623 11.935383 12.414221 13.158811
1.785000 11.474508 11.905753 12.491528 12.537339 13.138393 13.934140
1.921667 11.875713 12.422914 13.071420 13.131186 13.879034 14.616155
2.058333 12.387003 12.947556 13.657836 13.723336 14.526959 15.234950
2.195000 12.884288 13.494640 14.264745 14.293505 15.100233 15.748109
2.331667 13.412031 14.100790 14.903310 14.882942 15.653932 16.295484
2.468333 14.009561 14.722152 15.477459 15.460407 16.200263 16.774118
2.605000 14.721466 15.406488 16.099556 16.046881 16.679088 17.171617
2.741667 15.425587 16.119462 16.669481 16.640311 17.162786 17.585546
2.878333 16.277383 16.910733 17.303041 17.276682 17.656968 18.032912
3.015000 17.450680 17.732466 17.998325 17.992724 18.230065 18.544886
3.150000 18.179568 18.630914 19.063473 19.085607 19.565690 19.979951
3.285000 19.546003 19.868121 20.182512 20.162647 20.456863 20.685953
