depth(m) lower_95(kyr) lower_68(kyr) median(kyr) mean(kyr) upper_68(kyr) upper_95(kyr)
0.010000 0.529450 0.683208 0.893897 0.896116 1.097719 1.297334
0.155000 0.765023 0.962408 1.168218 1.173579 1.381448 1.623677
0.300000 1.076208 1.241620 1.456874 1.477981 1.713233 1.996556
0.445000 1.418657 1.675584 2.090273 2.059711 2.389337 2.668007
0.590000 2.283538 2.455101 2.624423 2.627511 2.804403 2.997369
0.650000 2.398425 2.571598 2.740846 2.747768 2.928450 3.102492
0.750000 2.689663 2.880950 3.132469 3.152810 3.444721 3.670400
0.850000 3.138107 3.357132 3.576668 3.581580 3.806419 4.027556
0.935000 3.592647 3.795832 4.067605 4.061609 4.326197 4.559296
1.020000 4.188788 4.327759 4.540088 4.543032 4.762403 4.901755
1.030000 4.203736 4.344913 4.555070 4.560287 4.781498 4.917522
1.130000 4.599930 4.798221 5.008051 5.013222 5.220993 5.420413
1.270000 5.620843 5.838471 6.069258 6.081519 6.324482 6.566196
1.410000 6.714534 6.896748 7.135789 7.148725 7.402834 7.684514
1.550000 7.803344 7.991449 8.196572 8.197096 8.396951 8.594166
1.650000 8.273236 8.560339 8.842434 8.829146 9.093927 9.329819
1.750000 8.937684 9.214085 9.490090 9.471769 9.723516 9.940296
1.885000 9.595714 10.032474 10.377523 10.355258 10.682467 10.956734
2.020000 10.441570 10.859368 11.295201 11.253942 11.621724 11.939858
2.155000 10.817831 11.261534 11.719379 11.722339 12.171134 12.607390
2.290000 11.277376 11.735089 12.195188 12.206712 12.680304 13.165556
2.425000 11.682261 12.205431 12.678021 12.671660 13.163621 13.568465
2.560000 12.226755 12.683207 13.141419 13.126229 13.562394 13.905863
2.695000 12.776725 13.208255 13.627691 13.591894 13.940990 14.233021
2.830000 13.638504 13.811648 14.025058 14.036353 14.252006 14.543765
2.962500 13.847082 14.075990 14.332220 14.365312 14.670504 15.050926
3.095000 14.101014 14.350285 14.652027 14.695589 15.057464 15.443308
3.227500 14.364091 14.629334 14.996484 15.016945 15.412909 15.775294
3.360000 14.563634 14.912243 15.334658 15.328308 15.715934 16.127698
3.492500 14.862016 15.249614 15.666392 15.644304 16.020651 16.375992
3.625000 15.201301 15.583939 15.957738 15.946101 16.296753 16.617568
3.757500 15.512257 15.934524 16.251145 16.236438 16.576992 16.820866
3.890000 15.907884 16.228061 16.510419 16.497655 16.780824 17.014223
4.028182 16.115115 16.420136 16.687112 16.680540 16.959121 17.199651
4.166364 16.276934 16.593477 16.856176 16.844097 17.110702 17.355323
4.304545 16.445910 16.752374 17.007054 16.998246 17.247917 17.478857
4.442727 16.587306 16.897822 17.152685 17.139667 17.390759 17.593393
4.580909 16.742857 17.043563 17.299074 17.277900 17.515426 17.706947
4.719091 16.934436 17.178858 17.423228 17.405935 17.645943 17.816376
4.857273 17.046091 17.307806 17.545314 17.530528 17.758408 17.929475
4.995455 17.187700 17.430462 17.671596 17.650412 17.857757 18.034517
5.133636 17.300450 17.563362 17.782109 17.768556 17.969221 18.123922
5.271818 17.407701 17.697607 17.908970 17.884338 18.069450 18.246692
5.410000 17.524975 17.813542 18.019210 17.998159 18.178169 18.346218
5.547500 17.666287 17.922302 18.122922 18.105250 18.282743 18.476253
5.685000 17.779573 18.019723 18.226736 18.215092 18.401903 18.595473
5.822500 17.872995 18.131354 18.331645 18.322784 18.510793 18.704447
5.960000 17.973391 18.240037 18.445332 18.431659 18.620976 18.804193
6.097500 18.077913 18.346734 18.548171 18.538156 18.731525 18.900180
6.235000 18.227901 18.469610 18.653025 18.646619 18.833093 19.015113
6.372500 18.332472 18.567528 18.764154 18.751837 18.937758 19.108201
6.510000 18.489196 18.677114 18.870233 18.859445 19.043057 19.205806
6.643333 18.585597 18.781725 18.974805 18.964128 19.142621 19.304458
6.776667 18.699495 18.889714 19.071064 19.066205 19.242600 19.384023
6.910000 18.802549 18.999871 19.178931 19.169002 19.341775 19.486006
7.043333 18.910583 19.108407 19.279402 19.270130 19.443167 19.566631
7.176667 19.012377 19.207756 19.377301 19.368516 19.528573 19.655364
7.310000 19.102762 19.314513 19.475121 19.466735 19.625083 19.738026
7.443333 19.215623 19.406109 19.565036 19.560871 19.719007 19.834030
7.576667 19.311337 19.504348 19.663270 19.652754 19.799502 19.928808
7.710000 19.415166 19.595181 19.759635 19.746248 19.892366 20.029240
7.843333 19.505540 19.686150 19.846628 19.837907 19.985079 20.118483
7.976667 19.609613 19.787996 19.938455 19.927393 20.065192 20.204662
8.110000 19.717403 19.871931 20.021100 20.014901 20.148636 20.301371
8.243333 19.817108 19.967902 20.104245 20.103002 20.244976 20.390151
8.376667 19.894966 20.050471 20.189966 20.189701 20.323391 20.467262
8.510000 19.981895 20.136764 20.281668 20.273992 20.408280 20.550986
8.653571 20.067744 20.212698 20.366016 20.360297 20.497431 20.629630
8.797143 20.144665 20.297077 20.454119 20.447539 20.588693 20.741713
8.940714 20.230868 20.380454 20.533756 20.533851 20.684149 20.855997
9.084286 20.310774 20.460106 20.619835 20.619846 20.781238 20.952126
