depth(m) lower_95(kyr) lower_68(kyr) median(kyr) mean(kyr) upper_68(kyr) upper_95(kyr)
0.030000 0.005461 0.036805 0.118698 0.146732 0.262023 0.429253
0.165714 0.295719 0.525327 0.833569 0.900282 1.249596 1.888063
0.301429 0.747217 1.080953 1.563950 1.665104 2.321255 3.087378
0.437143 1.210115 1.677043 2.373781 2.425219 3.210431 3.796890
0.572857 1.757339 2.376391 3.172159 3.167777 3.943952 4.456366
0.708571 2.510128 3.220828 4.019512 3.928048 4.604680 5.031858
0.844286 3.549239 4.270731 4.758342 4.701735 5.177106 5.477560
0.980000 5.023150 5.293847 5.481241 5.478835 5.677765 5.881080
1.100000 5.714684 5.928094 6.110707 6.116446 6.314822 6.516537
1.232500 6.173376 6.470478 6.821297 6.826415 7.183235 7.565180
1.365000 6.672406 7.095381 7.516507 7.509338 7.925400 8.287498
1.497500 7.394793 7.819961 8.167007 8.158568 8.494352 8.800113
1.630000 8.342378 8.553177 8.790463 8.786346 9.012309 9.246548
1.765000 8.821224 9.074484 9.319880 9.324791 9.593592 9.835245
1.900000 9.383779 9.613510 9.864977 9.868147 10.109356 10.335156
2.016667 9.852188 10.182735 10.480487 10.496176 10.825721 11.207603
2.133333 10.455552 10.844604 11.195714 11.197040 11.573823 11.890806
2.250000 11.318405 11.576569 11.909959 11.911874 12.244320 12.473832
2.358333 11.837071 12.148590 12.476886 12.474613 12.792881 13.138322
2.466667 12.419406 12.744069 13.038302 13.039322 13.347265 13.651634
2.575000 13.197987 13.411277 13.662954 13.680009 13.937025 14.246678
2.683333 13.773174 14.121312 14.542357 14.560702 14.980773 15.533814
2.791667 14.480435 15.045191 15.482443 15.457770 15.869248 16.269792
2.900000 15.876015 16.149740 16.434166 16.436092 16.725914 16.995551
3.000000 16.679167 17.101675 17.499633 17.490225 17.896619 18.231198
3.100000 18.025085 18.268761 18.506653 18.512376 18.748479 19.054399
3.240000 18.666091 19.116015 19.508439 19.572556 20.036925 20.800757
3.380000 19.377277 19.933718 20.534889 20.551980 21.163771 21.867855
3.520000 20.171406 20.888255 21.515464 21.490755 22.120130 22.672515
3.660000 21.267138 21.973993 22.489112 22.437091 22.895221 23.317955
3.800000 22.948309 23.183995 23.426840 23.432461 23.683837 23.931385
3.933333 23.666999 24.039660 24.448016 24.472426 24.872884 25.485861
4.066667 24.543288 25.080113 25.540253 25.515361 25.960322 26.372108
4.200000 25.931516 26.245992 26.533779 26.530680 26.830355 27.103105
4.300000 26.504735 26.850314 27.201269 27.208651 27.553627 27.874842
4.400000 27.148638 27.552306 27.918537 27.913593 28.282681 28.617373
4.500000 28.002798 28.335865 28.669796 28.677762 29.030412 29.331251
4.630000 29.547943 29.924502 30.198024 30.185038 30.455858 30.727006
4.742500 30.255876 30.635048 30.991172 31.007003 31.390560 31.895331
4.855000 30.792343 31.261477 31.722753 31.714878 32.178373 32.626279
4.967500 31.435438 31.912030 32.395563 32.374506 32.820555 33.182094
5.080000 32.135214 32.531292 32.999367 32.970536 33.361097 33.709798
5.195000 32.688648 33.111674 33.549399 33.549500 34.020871 34.348404
5.310000 33.288950 33.665248 34.112525 34.115896 34.574590 34.996622
5.425000 33.940220 34.309525 34.710863 34.707232 35.078164 35.528160
5.527500 34.558988 34.980697 35.359949 35.351541 35.738869 36.100768
5.630000 35.320852 35.690702 36.064923 36.064535 36.448186 36.801753
5.767500 36.008551 36.585356 37.089982 37.129538 37.663931 38.452766
5.905000 36.907957 37.518882 38.224807 38.213529 38.860449 39.590078
6.042500 37.988852 38.632301 39.285275 39.258420 39.859398 40.346035
6.180000 39.418673 39.813397 40.271051 40.272438 40.728326 41.157238
6.286667 39.981884 40.495835 40.981567 40.981660 41.484515 41.903734
6.393333 40.610542 41.145927 41.640913 41.646875 42.158944 42.655203
6.500000 41.277083 41.755750 42.294323 42.289399 42.798725 43.384226
6.600000 41.689738 42.236832 42.852048 42.865951 43.499587 44.239526
6.700000 42.086942 42.698658 43.374264 43.440139 44.154366 45.141605
6.800000 42.584764 43.227473 43.951249 44.031216 44.832771 45.864932
