depth(m) lower_95(kyr) lower_68(kyr) median(kyr) mean(kyr) upper_68(kyr) upper_95(kyr)
0.575000 1.259036 1.484759 1.749027 1.757351 2.008860 2.356032
0.717857 1.628756 1.936276 2.262415 2.301565 2.657024 3.141024
0.860714 2.064637 2.421001 2.857104 2.902472 3.378619 4.065802
1.003571 2.491235 2.951801 3.493608 3.514370 4.036430 4.629982
1.146429 3.064479 3.611850 4.113278 4.122457 4.641876 5.147170
1.289286 3.633872 4.271416 4.773575 4.744952 5.218097 5.618788
1.432143 4.456913 5.013678 5.404572 5.370578 5.728019 6.046962
1.575000 5.585573 5.804073 6.023939 6.031817 6.258986 6.543580
1.687500 6.138151 6.462439 7.211039 7.221408 7.998328 8.321128
1.800000 7.949703 8.203157 8.443250 8.457366 8.720875 8.972699
1.925000 8.508823 8.859376 9.400896 9.565645 10.419433 11.046643
2.050000 9.147781 9.779386 10.766083 10.623522 11.343865 11.758154
2.175000 10.970106 11.350837 11.666284 11.663583 11.980384 12.346457
2.319000 11.460980 11.843566 12.187448 12.214916 12.598182 13.083821
2.463000 11.818031 12.276120 12.687021 12.738906 13.194675 13.807002
2.607000 12.235355 12.697330 13.207451 13.233437 13.774082 14.357604
2.751000 12.598409 13.137634 13.714284 13.722374 14.290859 14.909168
2.895000 13.015466 13.578600 14.180483 14.187442 14.796429 15.322684
3.039000 13.455307 14.040613 14.670725 14.663756 15.261113 15.837250
3.183000 13.941234 14.521158 15.113286 15.118800 15.729390 16.299599
3.327000 14.459920 14.986114 15.580214 15.593012 16.190805 16.790507
3.471000 14.811254 15.475074 16.044897 16.054664 16.654994 17.232695
3.615000 15.325143 16.002533 16.526875 16.536524 17.147288 17.626982
3.759000 15.802117 16.453757 17.021239 17.008202 17.572070 17.973497
3.903000 16.358946 16.951494 17.490634 17.461823 17.987042 18.334181
4.047000 16.914943 17.488509 17.957038 17.924956 18.351035 18.670748
4.191000 17.573893 18.048774 18.418802 18.389160 18.720306 19.027049
4.335000 18.326096 18.580053 18.830062 18.832074 19.071132 19.351326
4.480278 18.627573 18.934910 19.204683 19.224128 19.521058 19.927125
4.625556 18.901206 19.240959 19.584799 19.611550 19.965706 20.508965
4.770833 19.180526 19.546983 19.965827 19.981749 20.408866 20.932792
4.916111 19.482176 19.899356 20.328535 20.360501 20.832005 21.373247
5.061389 19.860106 20.229705 20.733551 20.747899 21.239489 21.793929
5.206667 20.213680 20.615351 21.102031 21.132088 21.635100 22.239469
5.351944 20.527487 20.977523 21.507152 21.514872 22.058823 22.594633
5.497222 20.914099 21.367705 21.884492 21.909051 22.467374 23.007088
5.642500 21.282899 21.743800 22.249076 22.291274 22.861215 23.413080
5.787778 21.628004 22.118334 22.663036 22.666222 23.191281 23.803618
5.933056 22.004017 22.468738 23.036383 23.038769 23.587995 24.190174
6.078333 22.333462 22.843306 23.422342 23.425159 23.974335 24.569700
6.223611 22.701552 23.228367 23.806474 23.817791 24.404938 24.949305
6.368889 23.039881 23.611683 24.232591 24.208341 24.792532 25.337797
6.514167 23.458386 24.020853 24.628843 24.613020 25.178267 25.703806
6.659444 23.829159 24.433828 25.017799 25.011629 25.573102 26.185563
6.804722 24.250263 24.843920 25.401472 25.412876 25.964513 26.624232
6.950000 24.676371 25.224948 25.817447 25.809588 26.371611 27.024479
7.095278 25.025058 25.618905 26.193392 26.190105 26.767066 27.327640
7.240556 25.414328 26.002534 26.587748 26.585785 27.184760 27.696044
7.385833 25.839153 26.384341 26.979538 26.968368 27.559561 28.119577
7.531111 26.208829 26.758477 27.366827 27.357596 27.944652 28.508164
7.676389 26.617606 27.167976 27.753897 27.744899 28.317861 28.897220
7.821667 27.012193 27.503195 28.126621 28.117572 28.685491 29.272188
7.966944 27.357247 27.898849 28.505615 28.499932 29.077472 29.640954
8.112222 27.757278 28.325524 28.885880 28.887100 29.467687 30.079310
8.257500 28.105248 28.683544 29.268481 29.270094 29.858502 30.423501
8.402778 28.530711 29.068967 29.666125 29.650710 30.239684 30.770216
8.548056 28.900453 29.442234 30.039689 30.030261 30.602167 31.110794
8.693333 29.359854 29.841949 30.410825 30.402738 30.948921 31.476544
8.838611 29.661189 30.243415 30.766107 30.768885 31.328220 31.824825
8.983889 30.122511 30.616718 31.145773 31.139765 31.670476 32.121281
9.129167 30.511576 31.024632 31.486231 31.501305 31.997250 32.451848
9.274444 30.939441 31.419686 31.863062 31.861370 32.307656 32.738053
9.419722 31.356066 31.839819 32.247516 32.223361 32.613396 33.026918
9.565000 31.919391 32.262275 32.633557 32.621171 32.965747 33.313856
9.707857 32.299359 32.664729 33.081554 33.090771 33.484932 33.978791
9.850714 32.633262 33.100136 33.568711 33.574929 34.032417 34.607271
9.993571 33.023156 33.516847 34.057714 34.071673 34.612852 35.246152
10.136429 33.469950 33.984416 34.576822 34.567461 35.125856 35.667695
10.279286 33.956772 34.509595 35.066742 35.067266 35.625243 36.073113
10.422143 34.533902 35.043672 35.577070 35.548443 36.036054 36.497111
10.565000 35.089533 35.522269 36.001017 35.996829 36.454263 36.907715
10.704000 35.358983 35.858304 36.354216 36.354235 36.817848 37.302471
10.843000 35.738411 36.171809 36.690324 36.693022 37.195746 37.717887
10.982000 36.040024 36.449346 37.012022 37.009696 37.524415 38.059943
11.121000 36.291133 36.752415 37.331898 37.328093 37.852923 38.452168
11.260000 36.606802 37.078770 37.629611 37.636268 38.181193 38.754088
11.399000 36.876434 37.376754 37.937790 37.947649 38.490869 39.122081
11.538000 37.204937 37.699131 38.262485 38.268302 38.822282 39.368579
11.677000 37.496776 38.059146 38.583288 38.593667 39.135024 39.703604
11.816000 37.742837 38.373165 38.919944 38.914442 39.469635 39.972201
11.955000 38.135842 38.694861 39.273648 39.257924 39.787750 40.341377
