depth(m) lower_95(kyr) lower_68(kyr) median(kyr) mean(kyr) upper_68(kyr) upper_95(kyr)
0.170000 0.070273 0.251530 0.422373 0.414669 0.572081 0.692943
0.290000 0.452263 0.589386 0.723704 0.729629 0.873367 0.993332
0.410000 0.706070 0.850530 1.007702 1.005416 1.154759 1.315584
0.530000 0.993401 1.136842 1.278228 1.284798 1.443093 1.590779
0.650000 1.372671 1.539550 1.690739 1.704814 1.875647 2.079188
0.750000 1.626050 1.805359 2.012037 2.036887 2.262421 2.599244
0.890000 3.294045 3.543545 3.815872 3.808247 4.073199 4.303969
1.010000 3.887345 4.101875 4.292414 4.296545 4.502626 4.705892
1.120000 4.314078 4.544158 4.756267 4.763444 4.992464 5.271376
1.230000 4.847022 5.045038 5.268325 5.273922 5.496499 5.766257
1.346667 5.296976 5.608816 5.966740 5.967523 6.303261 6.679537
1.463333 5.846187 6.310450 6.682050 6.644401 6.999875 7.231100
1.580000 6.730932 7.015405 7.260542 7.237535 7.455288 7.641192
1.720000 7.205686 7.453955 7.691248 7.698402 7.948524 8.226925
1.860000 7.772994 7.932907 8.160764 8.173576 8.389346 8.741429
1.940000 8.140656 8.455783 8.861749 8.861330 9.243233 9.627118
2.020000 9.173001 9.483234 9.717474 9.723674 9.993619 10.275764
2.160000 10.070961 10.364438 10.680679 10.695083 11.021135 11.445851
2.300000 11.063089 11.311225 11.559059 11.572186 11.831054 12.072551
2.445000 11.773739 12.066953 12.312254 12.306781 12.550545 12.787529
2.590000 12.543370 12.723419 12.869180 12.874794 13.034934 13.196507
2.685000 12.776146 12.954410 13.119741 13.124596 13.309551 13.495452
2.780000 13.062296 13.195217 13.364999 13.382502 13.569927 13.790834
2.895000 13.361419 13.568449 13.803637 13.827710 14.086702 14.442745
3.010000 13.718465 14.014123 14.313005 14.344413 14.691259 15.142904
3.125000 14.274316 14.558413 14.884304 14.924076 15.303994 15.734467
3.240000 15.012629 15.253910 15.556077 15.607258 15.965330 16.423013
3.280000 15.971816 16.410267 16.728478 16.711942 17.030684 17.263601
3.390000 16.910633 17.341572 17.822094 17.813331 18.276818 18.669920
3.500000 18.380694 18.706772 18.930948 18.938135 19.187369 19.441558
3.624000 19.019337 19.449744 19.795076 19.840890 20.244111 20.856956
3.748000 19.699529 20.199951 20.663110 20.699549 21.217155 21.767778
3.872000 20.411841 21.045523 21.529407 21.511834 22.010214 22.503320
3.996000 21.378713 21.965525 22.327481 22.304170 22.659556 23.011095
4.120000 22.554274 22.827393 23.050310 23.067107 23.328616 23.590366
