depth(m) lower_95(kyr) lower_68(kyr) median(kyr) mean(kyr) upper_68(kyr) upper_95(kyr)
0.300000 5.520608 5.759439 6.005951 6.015257 6.265979 6.528755
0.400000 6.241707 6.817676 7.423392 7.559098 8.437491 9.284893
0.500000 7.255828 8.331033 9.432247 9.273214 10.110159 10.548249
0.600000 10.430700 10.735957 11.021496 11.023637 11.319261 11.626832
0.700000 11.506834 11.966001 12.489819 12.487462 12.996113 13.518597
0.800000 13.444744 13.686866 13.917155 13.933006 14.165237 14.565194
0.900000 14.296557 14.659027 14.957784 14.961421 15.261110 15.627800
1.000000 15.436420 15.697435 15.973891 15.969558 16.236701 16.528360
1.133333 16.506272 16.979860 17.506262 17.557520 18.147313 18.939189
1.266667 17.657694 18.455294 19.218361 19.151636 19.791084 20.285162
1.400000 20.150617 20.468639 20.756047 20.775115 21.095130 21.459406
1.533333 21.330953 21.868181 22.817587 23.091334 24.534217 25.704737
1.666667 22.820474 24.018522 25.638302 25.308174 26.325811 26.790413
1.800000 26.552470 26.911732 27.142563 27.118892 27.342035 27.501065
1.900000 27.199144 27.395765 27.617632 27.626025 27.850322 28.116210
2.000000 27.651381 27.839135 28.043400 28.054057 28.270757 28.522567
2.128571 27.958016 28.202662 28.465549 28.483778 28.771891 29.093285
2.257143 28.307284 28.573957 28.904399 28.920083 29.248304 29.671708
2.385714 28.672105 28.976737 29.331032 29.351821 29.715720 30.168079
2.514286 29.039969 29.400707 29.758335 29.774948 30.146933 30.608477
2.642857 29.474863 29.812062 30.186357 30.213093 30.604071 31.123821
2.771429 29.899017 30.232556 30.605698 30.644185 31.045779 31.628490
2.900000 30.442032 30.764213 31.085297 31.159749 31.548941 32.303837
