depth(m) lower_95(kyr) lower_68(kyr) median(kyr) mean(kyr) upper_68(kyr) upper_95(kyr)
0.020000 0.366224 0.513378 0.643937 0.648145 0.781268 0.963128
0.030000 0.438717 0.574638 0.697764 0.708628 0.843576 1.032802
0.174000 0.890976 1.154841 1.492577 1.547912 1.949188 2.543813
0.318000 1.442094 1.807772 2.289362 2.372085 2.970530 3.579390
0.462000 2.116535 2.523895 3.168237 3.174128 3.808262 4.454360
0.606000 2.984539 3.579483 4.099713 4.080253 4.570789 5.011297
0.750000 4.438181 4.781289 5.142609 5.114411 5.430436 5.754721
0.883333 5.127566 5.787033 6.447450 6.742566 7.727112 9.934586
1.016667 6.097214 6.990759 8.354186 8.554187 10.068182 12.135517
1.150000 7.221165 8.568935 10.328226 10.341136 12.052393 13.473481
1.283333 8.635086 10.557108 12.356287 12.136341 13.675271 14.483400
1.416667 10.485113 12.913909 14.150880 13.860014 14.829762 15.372804
1.550000 14.407044 14.967758 15.353897 15.323673 15.697623 16.019654
1.666250 15.052856 15.501409 15.906638 15.904629 16.334978 16.697497
1.782500 15.548872 15.995556 16.402343 16.408962 16.830518 17.268851
1.898750 16.120631 16.520322 16.927372 16.928115 17.325181 17.747532
2.015000 16.731245 17.134195 17.521824 17.529105 17.927172 18.343764
