depth(m) lower_95(kyr) lower_68(kyr) median(kyr) mean(kyr) upper_68(kyr) upper_95(kyr)
0.000000 3.378232 3.738474 4.157697 4.156889 4.610012 4.879053
0.100000 4.646663 5.369084 6.556889 6.584901 7.829033 8.465654
0.200000 8.634036 8.959838 9.245200 9.240108 9.497704 9.858536
0.275000 9.736197 10.309563 11.810749 11.737396 13.051689 13.631892
0.350000 13.349165 13.583270 13.831033 13.845431 14.117992 14.433254
0.466667 13.905689 14.236815 14.629570 14.672859 15.102446 15.626658
0.583333 14.543300 14.894662 15.305682 15.375821 15.844022 16.575802
0.700000 15.316265 15.605914 16.017076 16.092657 16.567390 17.308505
0.812500 16.045781 16.500413 17.096511 17.133988 17.774736 18.583506
0.925000 16.852707 17.561323 18.320122 18.272465 18.954080 19.539495
1.037500 18.118520 18.927260 19.481997 19.428413 19.958995 20.393761
1.150000 19.863971 20.211113 20.489669 20.480955 20.767169 21.063018
1.262500 20.407163 20.742575 21.071531 21.084467 21.433659 21.799489
1.375000 20.916789 21.302837 21.645296 21.652629 22.018312 22.366372
1.487500 21.532089 21.890983 22.242364 22.242581 22.613899 22.980145
1.600000 22.265398 22.575705 22.852845 22.875939 23.206242 23.614640
1.733333 23.186980 23.955634 25.208641 26.370224 30.080431 32.199656
1.866667 24.880741 26.946845 32.092006 30.885501 33.599539 34.185316
2.000000 34.471035 34.711193 34.994833 35.016693 35.322643 35.683561
