depth(m) lower_95(kyr) lower_68(kyr) median(kyr) mean(kyr) upper_68(kyr) upper_95(kyr)
0.125000 0.389496 0.601594 0.817529 0.825554 1.044455 1.293237
0.211500 0.718270 0.905333 1.119465 1.121610 1.327373 1.603752
0.298000 1.034072 1.225799 1.455981 1.463655 1.687495 1.925145
0.397750 1.482225 1.836100 2.268977 2.280747 2.737088 3.170941
0.497500 2.560646 2.847908 3.155274 3.155641 3.456330 3.758681
0.596250 3.159406 3.549987 3.966391 3.982454 4.444162 4.850979
0.695000 4.162580 4.496402 4.829329 4.811615 5.133122 5.405313
0.796500 4.676258 5.074668 5.389497 5.370636 5.656643 5.924207
0.898000 5.417306 5.682613 5.926992 5.925265 6.167264 6.398855
1.004000 5.996410 6.304606 6.666502 6.668287 7.039760 7.337424
1.110000 6.950701 7.208246 7.432269 7.428488 7.664565 7.857791
1.202500 7.418306 7.664899 7.915931 7.927061 8.178485 8.499149
1.295000 7.929212 8.161890 8.400477 8.422460 8.696065 9.000873
1.410000 9.206954 9.516277 9.823978 9.805633 10.092224 10.366688
1.495000 9.857858 10.175768 10.421674 10.418186 10.667280 10.952859
1.595000 10.422150 10.734630 11.020055 11.021943 11.321831 11.606528
1.695000 11.193298 11.367624 11.594912 11.597764 11.825358 12.069027
1.800000 11.647278 11.828192 12.026572 12.029823 12.238409 12.396702
1.895000 12.064102 12.243446 12.425055 12.422015 12.611768 12.715358
2.000000 12.524279 12.692775 12.869186 12.867913 13.035165 13.188691
2.085000 12.877767 13.073978 13.279634 13.275983 13.467119 13.680386
2.190000 13.216652 13.435042 13.673695 13.672266 13.898330 14.138073
2.295000 13.595081 13.826503 14.039922 14.045941 14.268078 14.488459
2.395000 13.898523 14.125985 14.365634 14.365316 14.595208 14.821385
2.495000 14.214863 14.439173 14.683493 14.669988 14.890009 15.112699
2.600000 14.584060 14.815155 15.040554 15.037787 15.262228 15.485710
2.700000 14.956629 15.210954 15.444374 15.451242 15.690721 15.982557
2.800000 15.407022 15.625868 15.843942 15.850415 16.068695 16.336169
2.895000 15.691595 15.933152 16.170074 16.169994 16.409054 16.637951
2.990000 15.990242 16.233849 16.464487 16.469837 16.701608 16.902643
3.091667 16.259534 16.511431 16.774414 16.767257 17.013731 17.253739
3.193333 16.528812 16.812239 17.057952 17.053503 17.313490 17.540127
3.295000 16.837567 17.090467 17.333185 17.336006 17.583282 17.803691
3.396667 17.100851 17.365938 17.626030 17.620526 17.864379 18.123362
3.498333 17.353746 17.642459 17.902130 17.906344 18.177048 18.405225
3.600000 17.676556 17.926491 18.181948 18.191566 18.472808 18.715536
3.733333 18.038772 18.322609 18.609266 18.603157 18.886348 19.196942
3.866667 18.421398 18.694499 19.012572 19.007014 19.330427 19.609306
4.000000 18.793174 19.041227 19.352568 19.370907 19.686521 20.056653
4.136667 18.996830 19.293617 19.613075 19.634416 19.972982 20.318303
4.273333 19.207065 19.531718 19.872471 19.889912 20.239100 20.632765
4.410000 19.462959 19.800426 20.145770 20.159111 20.497033 20.922127
4.543333 19.833103 20.217678 20.614490 20.639116 21.050091 21.629077
4.676667 20.216145 20.691900 21.156026 21.185308 21.718723 22.325810
4.810000 20.684075 21.172538 21.747786 21.746171 22.331768 22.851554
4.943333 21.248486 21.793681 22.353752 22.339305 22.924257 23.369938
5.076667 21.868032 22.434764 22.868143 22.874386 23.390208 23.743736
5.210000 22.498688 22.980520 23.324368 23.347701 23.803786 24.059235
5.310000 22.769075 23.180257 23.524159 23.553570 23.996041 24.281485
5.410000 22.972053 23.374785 23.705745 23.736792 24.174787 24.477749
5.510000 23.151998 23.543950 23.883727 23.911410 24.352499 24.631780
5.643333 23.415302 23.831712 24.206024 24.214543 24.624790 24.906408
5.776667 23.749878 24.149070 24.534939 24.532708 24.942284 25.240666
5.910000 24.117820 24.507043 24.887488 24.864482 25.247739 25.520392
6.043333 24.458234 24.820165 25.210814 25.186810 25.530359 25.818955
6.176667 24.819623 25.144838 25.528355 25.494456 25.806086 26.060868
6.310000 25.147630 25.446114 25.835263 25.784717 26.061035 26.292494
6.430000 25.325259 25.653192 26.016608 25.972502 26.240757 26.512738
6.550000 25.506171 25.828781 26.203942 26.157704 26.430363 26.697967
6.670000 25.693583 26.010137 26.379769 26.339935 26.609433 26.869925
6.790000 25.865938 26.221021 26.564714 26.533628 26.791437 27.093941
6.910000 26.115573 26.472282 26.800464 26.764196 27.018207 27.338752
