depth(m) lower_95(kyr) lower_68(kyr) median(kyr) mean(kyr) upper_68(kyr) upper_95(kyr)
0.050000 2.149553 2.443901 2.739750 2.737597 3.025375 3.289746
0.150000 3.457756 4.134395 5.057688 5.127062 6.211362 6.681528
0.250000 7.394300 7.603742 7.824525 7.818650 8.025083 8.262658
0.350000 8.933604 9.520926 11.385637 11.202233 12.684263 13.339945
0.450000 13.256369 13.541268 13.804246 13.801783 14.066556 14.343132
0.550000 13.778548 14.050545 14.353503 14.376053 14.706036 15.048980
0.650000 14.286379 14.604603 14.917095 14.920895 15.247403 15.582691
0.750000 14.926968 15.192344 15.457781 15.466284 15.743565 16.055176
0.875000 15.681122 16.186034 16.719269 16.783797 17.364214 18.444008
1.000000 16.756664 17.494280 18.339455 18.320973 19.078773 19.996141
1.125000 18.297397 19.367969 20.038715 19.969767 20.571066 21.269408
1.250000 21.022407 21.373120 21.688771 21.666291 21.954461 22.193865
