depth(m) lower_95(kyr) lower_68(kyr) median(kyr) mean(kyr) upper_68(kyr) upper_95(kyr)
0.010000 2.500628 2.835094 3.182126 3.174075 3.510981 3.779158
0.030000 3.070405 3.298678 3.540499 3.544363 3.802713 4.002044
0.070000 3.625842 3.962707 4.367858 4.443803 4.860954 5.801427
0.100000 4.074551 4.474990 5.116097 5.190956 5.841040 6.807013
0.130000 4.575785 5.132794 5.989116 6.022971 6.815921 7.903841
0.170000 5.556192 6.546366 7.373585 7.475665 8.489657 9.705891
0.200000 6.514380 7.412675 8.246899 8.379202 9.537986 10.479276
0.230000 7.696185 8.525418 9.605814 9.714588 10.954461 11.865365
0.270000 10.420752 11.470316 12.073555 11.997140 12.569777 13.027778
0.300000 11.807623 12.325822 12.748797 12.735285 13.145604 13.604785
0.330000 12.707144 13.101184 13.455330 13.472572 13.848796 14.311123
0.370000 13.639070 13.930515 14.288687 14.287440 14.631146 14.991502
0.400000 14.181937 14.613945 15.016026 14.997766 15.371592 15.690926
0.430000 14.866952 15.370404 16.013591 15.946465 16.448942 16.827706
0.470000 15.238979 16.034538 16.541760 16.503053 16.965289 17.445441
0.500000 16.097861 16.620989 17.027983 17.030997 17.461755 18.026829
0.530000 16.753653 17.115852 17.517450 17.557840 18.002128 18.630347
0.570000 17.241436 17.640488 18.063555 18.126408 18.607011 19.362249
0.600000 17.649879 18.044177 18.512589 18.573627 19.084591 19.895548
0.630000 18.042247 18.437364 18.900481 18.970806 19.523817 20.273072
0.670000 18.477804 18.866120 19.379927 19.474020 20.123491 20.814339
0.700000 18.807319 19.225574 19.752108 19.857776 20.528687 21.231133
0.730000 19.085778 19.574731 20.126508 20.211717 20.907522 21.625219
0.770000 19.494340 20.019860 20.637382 20.695709 21.441256 22.048730
0.800000 19.818284 20.359261 21.024383 21.065695 21.804499 22.487907
0.830000 20.217783 20.713410 21.339094 21.426210 22.180445 23.048108
0.870000 20.677003 21.201906 21.823816 21.949008 22.716100 23.800414
0.900000 21.099052 21.601477 22.233209 22.399442 23.289336 24.353326
0.930000 21.463242 22.004597 22.717201 22.896236 23.931966 24.850896
0.970000 22.067893 22.727367 23.537781 23.646436 24.661053 25.514405
1.000000 22.519152 23.353438 24.204133 24.247486 25.187593 26.062718
1.030000 23.028207 24.100874 24.847822 24.890307 25.703990 26.668935
1.070000 23.913969 25.013493 25.721057 25.752410 26.603832 27.541927
1.100000 24.734875 25.608322 26.334683 26.416533 27.275740 28.208863
1.130000 25.388247 26.387879 27.214338 27.226046 28.157540 29.025223
1.170000 26.172801 27.243604 28.202255 28.183975 29.134758 30.111187
1.200000 26.667948 27.741566 28.855401 28.791518 29.804842 30.693441
1.230000 27.197526 28.220686 29.515357 29.375220 30.462212 31.387690
1.270000 27.740200 28.868704 30.224848 30.130845 31.371127 32.212394
1.300000 28.152240 29.374281 30.755162 30.658571 31.872303 32.691400
1.330000 28.648755 29.902321 31.321542 31.168853 32.316121 33.084805
1.370000 29.234595 30.552311 32.029682 31.846454 32.941797 33.623349
1.400000 29.669141 31.087775 32.555933 32.329125 33.377460 33.936854
1.430000 30.243184 31.645967 33.011825 32.771900 33.763448 34.296856
1.470000 30.980992 32.374752 33.495518 33.303029 34.179626 34.661389
1.500000 31.661181 32.879532 33.855796 33.702582 34.506720 34.987347
1.530000 32.212592 33.317031 34.188009 34.088961 34.822319 35.320987
1.570000 33.072239 33.847786 34.663679 34.580186 35.280670 35.786238
1.600000 33.498622 34.233443 35.005844 34.946952 35.603814 36.133060
1.630000 33.886600 34.586726 35.340801 35.285369 35.948563 36.441479
1.670000 34.358882 35.028575 35.749098 35.720976 36.382756 36.829161
1.700000 34.729151 35.333767 36.106902 36.058084 36.732230 37.239004
1.730000 35.137157 35.723443 36.494930 36.431440 37.089588 37.624038
1.770000 35.612783 36.228336 36.935643 36.909605 37.585868 37.993467
1.800000 36.081561 36.602263 37.282702 37.276811 37.955117 38.370824
1.830000 36.560503 37.030137 37.679440 37.652893 38.270327 38.706045
1.870000 37.257355 37.757357 38.230560 38.212225 38.682129 39.072923
1.900000 37.934482 38.339197 38.701279 38.690520 39.051918 39.332866
1.930000 38.523414 38.974133 39.361159 39.417677 39.816803 40.580021
1.970000 39.249939 39.678602 40.233379 40.303889 40.904474 41.858536
2.000000 39.716999 40.174374 40.835543 40.926511 41.638996 42.641134
2.030000 40.147958 40.701165 41.503587 41.576095 42.404891 43.641255
2.070000 40.840448 41.498851 42.437705 42.604411 43.785400 45.180469
2.100000 41.263932 42.117160 43.128644 43.317953 44.701678 45.840010
2.130000 41.997368 42.824014 44.005860 44.099627 45.410473 46.412443
2.170000 42.805657 43.855364 45.447136 45.290150 46.549300 47.331363
2.200000 43.302553 44.746326 46.295920 46.072838 47.121569 47.957056
2.230000 43.813206 45.763307 47.034719 46.793438 47.675985 48.411603
2.270000 44.445365 47.048664 47.844117 47.716028 48.385144 49.117842
2.300000 45.111937 47.634506 48.379977 48.270381 48.918553 49.720812
2.320000 45.431722 47.966225 48.742998 48.635155 49.306064 50.092974
2.340000 45.872517 48.327832 49.098287 48.995578 49.664823 50.423510
2.360000 46.229834 48.711798 49.454200 49.344796 49.964351 50.889092
2.380000 46.545057 49.115936 49.752554 49.683897 50.270466 51.265037
2.400000 46.899117 49.454246 50.066403 50.024979 50.581745 51.776571
2.420000 47.374947 49.807313 50.387954 50.352078 50.899481 52.250462
2.440000 48.173070 50.149022 50.685399 50.680295 51.196860 53.869364
2.460000 48.908059 50.458607 50.978733 51.008164 51.487699 54.953104
2.480000 49.548979 50.785771 51.303232 51.324805 51.777361 55.490126
2.500000 49.984980 51.082366 51.632634 51.668550 52.082457 55.789042
2.520000 50.467437 51.437715 51.963584 52.029273 52.423322 56.074709
2.540000 50.947929 51.786861 52.299183 52.388969 52.816417 56.442551
2.560000 51.431436 52.112574 52.598745 52.743070 53.203588 56.695686
2.580000 51.771053 52.435988 52.919391 53.093047 53.547903 57.046042
2.600000 52.148812 52.736214 53.227632 53.447445 53.917594 57.364290
2.620000 52.514064 53.041506 53.565827 53.797532 54.315672 57.717073
2.640000 52.815465 53.354735 53.931987 54.152707 54.719645 58.066678
2.660000 53.094843 53.675145 54.280730 54.514061 55.116952 58.410629
2.680000 53.402567 53.994152 54.640505 54.902037 55.707688 58.777760
2.700000 53.611155 54.375865 55.032848 55.310093 56.223263 59.081627
2.720000 53.891651 54.718949 55.406468 55.713362 56.742925 59.406438
2.740000 54.228100 55.105591 55.831823 56.141800 57.247564 59.668997
2.760000 54.559839 55.494199 56.348420 56.574813 57.692675 59.935720
2.780000 54.809551 55.941792 56.877074 57.017923 58.106501 60.187750
