depth(m) lower_95(kyr) lower_68(kyr) median(kyr) mean(kyr) upper_68(kyr) upper_95(kyr)
0.050000 4.797561 5.673884 6.289268 6.205266 6.727712 7.063884
0.100000 5.364414 6.118398 6.646760 6.557645 7.010440 7.285735
0.150000 5.984636 6.585575 6.988412 6.923907 7.277482 7.533850
0.220000 7.007962 7.215312 7.425336 7.434534 7.655931 7.854424
0.260000 7.265065 7.472579 7.721750 7.737399 7.996081 8.315467
0.300000 7.467411 7.720563 8.019878 8.055438 8.389567 8.839400
0.350000 7.719331 8.041304 8.450125 8.487437 8.914217 9.511553
0.400000 8.025755 8.400531 8.914828 8.933784 9.457140 10.054093
0.500000 8.679473 9.261920 9.855923 9.897042 10.551743 11.167908
0.575000 9.328677 9.939935 10.599390 10.603297 11.269190 11.885560
0.650000 10.055475 10.715311 11.356095 11.332899 11.935010 12.445066
0.730000 10.946852 11.667114 12.257909 12.226837 12.799569 13.248427
0.820000 12.010142 12.531262 13.044851 13.042351 13.583309 14.036600
0.910000 12.619077 13.203620 13.716620 13.712361 14.263068 14.710349
1.000000 13.332082 13.808837 14.351795 14.352968 14.903506 15.393956
1.100000 13.946266 14.517250 15.119918 15.128807 15.693543 16.318826
1.200000 14.691034 15.317271 15.892071 15.921043 16.536757 17.300186
1.300000 15.643456 16.136472 16.683867 16.739162 17.343604 18.114214
1.400000 16.337087 16.847329 17.563355 17.605087 18.313564 19.350665
1.500000 16.963301 17.627882 18.450688 18.462842 19.209211 20.291975
1.600000 17.504269 18.316049 19.230655 19.232479 20.131249 21.001326
1.700000 18.073736 19.010630 19.999629 19.977677 21.003412 21.836161
1.840000 18.902908 19.972959 20.996933 20.985649 22.040154 22.834053
1.980000 20.031112 20.944011 21.967721 21.949183 22.989876 23.762059
2.120000 21.054395 22.044974 22.958877 22.929282 23.793264 24.493357
2.260000 22.447030 23.332289 23.999386 23.953065 24.595163 25.161853
2.400000 24.187152 24.635524 25.055284 25.051351 25.489576 25.947629
2.500000 24.879888 25.384003 25.968021 26.084517 26.740802 28.027245
2.600000 25.503193 26.131011 26.973956 27.130043 28.177674 29.461088
2.700000 26.000260 26.760456 27.911669 28.016493 29.278128 30.890531
2.800000 26.486482 27.355613 28.769573 28.883443 30.383016 31.966479
2.900000 26.960387 27.957547 29.597122 29.700601 31.350530 33.168096
3.000000 27.513755 28.552588 30.416806 30.510268 32.353777 34.178859
3.100000 28.039571 29.148893 31.243055 31.320079 33.355569 35.450339
3.200000 28.490362 29.818564 32.046359 32.117932 34.294724 36.550919
3.325000 29.020288 30.645057 33.003092 33.140409 35.595242 37.939597
3.450000 29.613466 31.551339 33.904413 34.175945 36.962696 39.883399
3.575000 30.233058 32.456093 34.885804 35.235690 38.273842 41.643958
3.700000 30.794828 33.346830 35.802276 36.290830 39.601912 42.697677
3.800000 31.359562 33.979001 36.774489 37.128553 40.532712 43.553198
3.900000 31.955783 34.678149 37.754949 37.967605 41.419503 44.275555
4.010000 32.437017 35.418073 39.054120 38.953403 42.335720 45.257761
4.105000 32.998824 35.910763 39.857752 39.680451 42.996763 46.065429
4.200000 33.533532 36.567527 40.605001 40.388264 43.687247 46.826010
4.300000 34.111959 37.540558 41.504955 41.163046 44.462330 47.647603
4.400000 34.571295 38.362534 42.197774 41.891373 45.456468 48.584691
4.500000 34.985986 38.983424 42.916561 42.608224 46.491183 49.357300
4.600000 35.429022 39.700088 43.600211 43.323848 47.342021 50.134735
4.700000 36.006079 40.438327 44.145625 44.040525 48.222102 50.938920
4.833333 36.565621 41.394761 44.993086 45.018809 49.375626 52.176322
4.966667 37.150573 42.271018 45.895771 45.994694 50.537530 53.337341
5.100000 37.758767 43.088379 46.770224 46.949774 51.655539 54.359621
5.200000 38.241352 43.721540 47.498664 47.674773 52.544395 55.219965
5.300000 38.762715 44.375965 48.203444 48.400013 53.398232 55.941789
5.400000 39.354703 45.030408 48.922793 49.148760 54.045001 56.781630
