depth(m) lower_95(kyr) lower_68(kyr) median(kyr) mean(kyr) upper_68(kyr) upper_95(kyr)
0.175000 1.113168 2.768025 4.759899 4.508342 6.151200 6.892747
0.225000 2.062813 3.510376 5.400381 5.152226 6.665515 7.339519
0.275000 2.951918 4.339297 6.053186 5.816319 7.139657 7.760880
0.375000 4.948758 6.250934 7.326109 7.132581 7.999024 8.489148
0.450000 6.479692 7.639538 8.243573 8.150349 8.705636 9.076068
0.525000 8.650289 8.866167 9.108350 9.111474 9.362948 9.571703
0.555000 8.924048 9.159521 9.420095 9.427889 9.699761 9.985136
0.605000 9.309027 9.590860 9.906305 9.926707 10.256373 10.662095
0.655000 9.702772 10.031841 10.401294 10.422244 10.795540 11.301479
0.705000 10.147926 10.533592 10.949898 10.965403 11.396823 11.830937
0.725000 10.413062 10.783217 11.191663 11.214466 11.661695 12.043883
0.755000 10.826916 11.199460 11.616676 11.631056 12.088552 12.464253
0.805000 11.512982 11.968428 12.397518 12.397775 12.844315 13.272325
0.855000 12.286313 12.706235 13.152911 13.166900 13.644303 14.087386
0.905000 12.966522 13.363303 13.825663 13.848102 14.346112 14.788101
0.955000 13.500902 13.972236 14.394296 14.402033 14.862771 15.247103
1.005000 14.204797 14.603328 15.030199 15.012476 15.404276 15.775802
1.055000 15.033762 15.416845 15.767732 15.778648 16.124659 16.588385
1.075000 15.443828 15.808737 16.149864 16.179406 16.513701 17.070421
1.105000 15.959272 16.391801 16.762965 16.849062 17.291884 18.112491
1.155000 16.662081 17.105773 17.666298 17.811395 18.493059 19.971959
1.205000 17.134514 17.696158 18.448457 18.643889 19.540866 21.397721
1.305000 17.938467 18.752236 20.093098 20.295723 22.073097 23.616660
1.405000 18.933967 19.977254 21.642538 21.752908 23.581763 25.098802
1.505000 20.165776 21.411971 23.281752 23.311376 25.069462 26.710475
1.605000 21.616873 23.498435 25.282617 25.236808 26.951971 28.781624
1.705000 23.406406 25.899583 27.633876 27.629214 29.410122 31.273614
1.755000 24.196330 27.147438 28.802282 28.769623 30.569194 32.401597
1.805000 25.315243 28.104601 29.942584 29.849357 31.740350 33.444340
1.905000 27.677719 30.737779 32.660112 32.558087 34.681356 35.879388
2.005000 32.944518 35.177269 36.616254 36.481498 37.904201 38.822461
2.105000 36.042144 37.614575 38.954072 38.901231 40.233322 41.487429
2.205000 38.777108 39.868700 41.141213 41.170694 42.419836 43.752785
