depth(m) lower_95(kyr) lower_68(kyr) median(kyr) mean(kyr) upper_68(kyr) upper_95(kyr)
0.010000 0.049366 0.169348 0.302942 0.302980 0.435429 0.574143
0.132500 0.650014 1.066264 1.663154 1.774069 2.400444 3.761397
0.255000 1.454765 2.190248 3.245921 3.278136 4.281912 5.630520
0.377500 2.671337 3.602755 4.812387 4.785850 5.878352 7.000215
0.500000 4.020948 5.140948 6.294827 6.233852 7.318461 8.254177
0.550000 4.494541 5.730157 6.913567 6.810671 7.861155 8.756437
0.600000 5.125909 6.336498 7.459327 7.361518 8.378941 9.219976
0.650000 5.537255 6.924301 7.955941 7.881519 8.897653 9.601229
0.700000 6.293628 7.443686 8.458891 8.409831 9.367901 10.091499
0.750000 6.848508 8.016014 9.006119 8.927910 9.828477 10.469835
0.800000 7.600127 8.643344 9.566974 9.466717 10.323379 10.951258
0.840000 8.016109 9.106913 10.009961 9.910023 10.716710 11.257374
0.900000 8.984871 9.896028 10.710799 10.638347 11.353718 11.866649
0.950000 9.715238 10.530189 11.303236 11.244620 11.939196 12.362627
1.010000 10.986249 11.589023 12.155625 12.114474 12.632176 13.041165
1.060000 11.822015 12.322370 12.791404 12.769980 13.212662 13.607583
1.100000 12.396621 12.863892 13.290364 13.269910 13.698847 13.995101
1.160000 13.053112 13.509370 13.953766 13.904637 14.283655 14.573118
1.190000 13.276723 13.807851 14.247463 14.194991 14.549374 14.845092
1.260000 13.881856 14.426257 14.749974 14.721026 15.036909 15.313462
1.320000 14.562940 14.914861 15.226057 15.212805 15.507343 15.808265
1.350000 14.796528 15.169286 15.461630 15.449847 15.739532 16.012655
1.400000 15.220933 15.500852 15.795688 15.816153 16.126991 16.479974
1.470000 15.768617 16.055982 16.418273 16.472192 16.874438 17.413443
1.510000 16.110827 16.482283 16.936086 16.989608 17.489664 18.173572
1.550000 16.651147 17.090082 17.681509 17.742392 18.385639 19.191395
1.660000 18.160595 19.178041 20.052890 19.983590 20.732887 21.618189
1.700000 18.873536 19.927704 20.751984 20.657267 21.369905 21.995904
1.750000 20.159335 21.201719 21.765717 21.660093 22.133487 22.503045
1.800000 22.180967 22.367935 22.582494 22.577433 22.777831 22.980692
1.810000 22.320627 22.524507 22.710570 22.711804 22.898111 23.109554
