depth(m) lower_95(kyr) lower_68(kyr) median(kyr) mean(kyr) upper_68(kyr) upper_95(kyr)
0.020000 0.863466 1.091181 1.358204 1.356275 1.624683 1.862354
0.040000 0.924852 1.142968 1.400149 1.400765 1.666434 1.912146
0.060000 0.979224 1.178538 1.447634 1.447092 1.705818 1.959345
0.080000 1.019047 1.221013 1.502556 1.498121 1.761749 2.018375
0.100000 1.069704 1.260002 1.558385 1.551255 1.816900 2.106802
0.160000 1.213027 1.396127 1.767052 1.813836 2.190513 2.876545
0.200000 1.276426 1.471967 1.881557 1.952298 2.315396 3.394449
0.220000 1.308385 1.513718 1.936631 2.005202 2.372057 3.482287
0.240000 1.343356 1.550991 1.986807 2.057550 2.428170 3.585446
0.260000 1.371720 1.588768 2.040534 2.109921 2.486108 3.660422
0.280000 1.400798 1.624593 2.087450 2.161634 2.553259 3.752838
0.360000 1.521495 1.796734 2.372449 2.558321 3.212500 5.019097
0.400000 1.597642 1.873054 2.494603 2.694106 3.360080 5.341943
0.440000 1.657376 1.958656 2.613234 2.825041 3.533303 5.661911
0.460000 1.685866 2.011078 2.666683 2.879636 3.593515 5.732021
0.500000 1.755680 2.105463 2.797858 3.018255 3.815586 5.954302
0.580000 1.912618 2.310305 3.257540 3.485412 4.539092 6.680401
0.620000 1.975260 2.417673 3.390340 3.629803 4.824336 6.851201
0.680000 2.088562 2.569725 3.649190 3.912136 5.352599 7.304931
0.700000 2.142610 2.611191 3.717247 3.970263 5.452159 7.357876
0.720000 2.187141 2.662490 3.769909 4.029984 5.530280 7.439815
0.760000 2.300496 2.774093 3.895585 4.184201 5.716872 7.670999
0.780000 2.353368 2.833725 3.959021 4.247460 5.780832 7.774478
0.850000 2.528799 3.127705 4.341675 4.701746 6.438529 8.459421
0.870000 2.587028 3.191904 4.393403 4.763333 6.504331 8.552727
0.890000 2.652941 3.248659 4.443944 4.821261 6.537254 8.628041
0.960000 2.986128 3.681663 4.840141 5.167280 6.820532 8.845864
1.075000 4.146746 5.043803 6.084630 6.311112 7.857135 9.323210
1.190000 5.243540 6.245532 7.313011 7.405737 8.622739 9.892009
1.293333 6.114886 7.184133 8.283999 8.270434 9.352052 10.363319
1.396667 7.020664 8.163492 9.175872 9.127636 10.146654 10.943293
1.500000 7.905464 9.121334 10.030596 9.984130 10.894750 11.612104
1.640000 9.218626 10.799641 11.722673 11.596430 12.510018 13.251688
1.660000 9.276706 10.863930 11.776304 11.654532 12.577670 13.321884
1.680000 9.335693 10.913542 11.831136 11.707984 12.622951 13.373823
1.700000 9.391139 10.989196 11.875812 11.756667 12.665851 13.430831
1.720000 9.489758 11.045844 11.917673 11.806924 12.708091 13.490069
1.740000 9.526731 11.073770 11.967244 11.857337 12.753828 13.528899
1.840000 10.208647 11.567289 12.340665 12.298836 13.093553 14.137782
1.940000 10.640038 11.906629 12.622645 12.661194 13.516821 14.585170
1.960000 10.661969 11.961816 12.662179 12.705435 13.572693 14.632417
2.090000 10.972697 12.234207 12.890934 12.972056 13.872399 14.975261
2.220000 11.456931 12.457734 13.127647 13.233899 14.213616 15.261390
2.350000 11.852926 12.682947 13.351345 13.488627 14.492263 15.577818
2.480000 12.315583 12.896401 13.554787 13.729062 14.749716 15.808556
2.610000 12.572324 13.121178 13.770928 13.958332 14.946958 16.075741
2.740000 12.808100 13.363375 14.008070 14.188877 15.126234 16.305551
2.860000 13.012030 13.524149 14.227552 14.402718 15.298424 16.473378
2.880000 13.050857 13.577791 14.265372 14.440136 15.344512 16.523358
2.900000 13.101537 13.615712 14.301671 14.477630 15.375701 16.559539
2.920000 13.129395 13.652074 14.331571 14.513344 15.408644 16.601696
2.940000 13.158497 13.683971 14.368454 14.549341 15.431636 16.619134
2.960000 13.194257 13.726271 14.401340 14.584891 15.470268 16.638674
2.980000 13.240485 13.763638 14.436897 14.620181 15.492263 16.677447
3.000000 13.297516 13.803086 14.472570 14.654130 15.522333 16.714579
3.100000 13.467512 14.011530 14.633331 14.798158 15.636597 16.825411
3.160000 13.581634 14.128231 14.713183 14.887737 15.719982 16.931607
3.200000 13.656844 14.203495 14.776661 14.950521 15.783222 17.001058
3.335385 13.843924 14.411675 14.960732 15.151853 16.025383 17.183928
