depth(m) lower_95(kyr) lower_68(kyr) median(kyr) mean(kyr) upper_68(kyr) upper_95(kyr)
0.080000 16.659243 16.901479 17.160373 17.163489 17.415195 17.709040
0.120000 16.918191 17.115419 17.351123 17.358672 17.588422 17.852932
0.160000 17.053253 17.301189 17.511837 17.523726 17.761358 18.019593
0.200000 17.220688 17.455119 17.656671 17.671039 17.902233 18.180123
0.240000 17.353769 17.590579 17.797490 17.812667 18.040816 18.309597
0.280000 17.498610 17.730734 17.944738 17.956662 18.188652 18.435493
0.320000 17.648481 17.879472 18.090715 18.105903 18.334385 18.625231
0.360000 17.802991 18.046732 18.285512 18.306098 18.572435 18.948019
0.400000 17.986040 18.220626 18.499987 18.531261 18.841312 19.263183
0.450000 18.181772 18.451181 18.780543 18.828481 19.205338 19.749756
0.480000 18.328245 18.600686 18.953757 19.008907 19.427188 19.980858
0.520000 18.495727 18.819467 19.197555 19.260544 19.726736 20.322436
0.560000 18.665376 19.035741 19.465205 19.514528 20.024115 20.614384
0.600000 18.835898 19.232684 19.727887 19.770094 20.345924 20.884059
0.640000 19.009233 19.451058 19.994793 20.026052 20.656632 21.137702
0.680000 19.196711 19.713268 20.267887 20.289245 20.917072 21.336709
0.720000 19.423220 19.956911 20.547627 20.552684 21.165904 21.585160
0.760000 19.669059 20.220270 20.825116 20.796773 21.385695 21.784964
0.800000 19.894768 20.469110 21.069179 21.034733 21.585197 22.010101
0.840000 20.089670 20.720027 21.307717 21.270193 21.780225 22.251651
0.880000 20.367132 21.002429 21.546573 21.510989 22.004974 22.479318
0.920000 20.633716 21.267173 21.768503 21.749634 22.213178 22.726038
0.960000 20.973519 21.527405 22.009742 22.001270 22.441479 23.061001
1.000000 21.292658 21.793039 22.230258 22.258426 22.686548 23.409817
1.040000 21.590758 22.061314 22.497214 22.534009 22.972743 23.846856
1.080000 21.879933 22.362955 22.759733 22.822134 23.278643 24.187184
1.120000 22.272610 22.664682 23.080206 23.139735 23.584835 24.432915
1.160000 22.550850 22.951219 23.380509 23.432735 23.893246 24.638400
1.200000 22.760673 23.173870 23.661190 23.702129 24.217402 24.989386
1.240000 22.930451 23.383747 23.897000 23.957597 24.549071 25.311341
1.280000 23.130733 23.570047 24.130329 24.205455 24.858989 25.541470
1.320000 23.316314 23.785359 24.359910 24.445325 25.133116 25.759459
1.360000 23.528932 24.008300 24.584148 24.675430 25.384358 26.021198
1.390000 23.695891 24.161413 24.774692 24.852486 25.571631 26.226611
1.440000 23.935653 24.457875 25.068835 25.138756 25.838257 26.580138
1.490000 24.220586 24.752160 25.333023 25.430154 26.127105 26.976400
1.520000 24.424055 24.932660 25.523622 25.622365 26.333375 27.287140
1.560000 24.699624 25.217738 25.775757 25.900513 26.574479 27.810561
1.600000 24.901550 25.489936 26.032006 26.185655 26.827523 28.346812
1.640000 25.125109 25.785167 26.321419 26.484161 27.094372 28.922735
1.680000 25.587092 26.143594 26.637803 26.806234 27.367758 29.484479
1.720000 25.846204 26.401579 26.937847 27.118494 27.686252 29.957460
1.760000 26.079607 26.703652 27.256744 27.458061 28.103923 30.217433
1.800000 26.376226 27.025886 27.610374 27.834149 28.553701 30.725582
1.840000 26.713077 27.341554 27.978363 28.228910 29.124967 31.205192
1.880000 27.111706 27.667683 28.373970 28.602816 29.577018 31.497724
1.920000 27.503425 28.015391 28.738600 28.990205 30.108068 31.843800
1.960000 27.754766 28.361631 29.133801 29.374336 30.511998 32.221827
2.040000 28.324595 29.061535 30.163690 30.310994 31.742408 32.986413
2.080000 28.588183 29.414402 30.561392 30.695419 32.103137 33.326346
2.120000 28.873809 29.784170 30.976525 31.088580 32.478173 33.558559
2.160000 29.182526 30.319043 31.370655 31.489715 32.820720 33.933002
2.200000 29.485581 30.780907 31.827594 31.878526 33.142326 34.184018
2.240000 29.887963 31.199553 32.301932 32.274313 33.392333 34.469430
2.280000 30.358813 31.681007 32.898132 32.724229 33.699721 34.686736
2.320000 30.922947 32.288037 33.331586 33.206593 34.041704 34.914306
2.360000 31.559189 32.840454 33.702087 33.616526 34.369544 35.145387
2.400000 32.413464 33.400273 34.167652 34.081173 34.697914 35.439775
2.440000 33.023483 33.871078 34.488602 34.442651 35.016233 35.780744
2.480000 33.394607 34.201213 34.740666 34.711890 35.203885 36.006943
2.520000 33.720465 34.425684 34.931771 34.931336 35.385548 36.268433
2.560000 34.069445 34.679343 35.116056 35.151968 35.532446 36.571801
2.600000 34.412678 34.963891 35.312649 35.380947 35.712340 36.865617
2.640000 34.726508 35.222388 35.502412 35.616386 35.916894 37.232358
2.680000 34.976355 35.425745 35.688020 35.819561 36.106418 37.541723
2.720000 35.125574 35.585082 35.854642 36.003732 36.331637 37.762018
2.760000 35.260404 35.749220 36.018231 36.178688 36.563909 37.913262
2.800000 35.363221 35.902040 36.169829 36.352096 36.792252 38.162379
2.840000 35.516298 36.056888 36.339023 36.520655 37.030042 38.398914
2.880000 35.678965 36.200746 36.513044 36.699559 37.280307 38.571332
2.920000 35.851524 36.372660 36.694142 36.886151 37.521042 38.820426
2.960000 36.002325 36.524168 36.871398 37.072768 37.709185 38.956962
3.000000 36.129193 36.703025 37.085218 37.268317 37.946965 39.107218
3.040000 36.299680 36.890216 37.300927 37.472480 38.191491 39.281509
3.080000 36.513792 37.076720 37.528338 37.689542 38.399018 39.496965
3.120000 36.746635 37.280023 37.773582 37.908422 38.583687 39.613896
3.160000 36.910340 37.485932 37.982144 38.119483 38.777747 39.819210
3.200000 37.143203 37.704459 38.197087 38.328838 38.977585 40.111821
3.240000 37.380603 37.928072 38.429443 38.552196 39.168594 40.336241
3.280000 37.712158 38.167359 38.662815 38.787491 39.346703 40.674335
3.320000 38.016549 38.417374 38.942509 39.054973 39.602849 41.091607
3.360000 38.309618 38.742656 39.269624 39.380010 39.937597 41.437324
3.400000 38.664536 39.121418 39.653267 39.787314 40.450684 41.697218
3.440000 39.050953 39.563345 40.204572 40.302562 40.998261 42.015374
3.480000 39.417664 40.140546 40.833528 40.856012 41.564091 42.426441
3.520000 40.019072 40.681917 41.401225 41.387686 42.052366 42.774980
3.560000 40.587199 41.288044 41.980498 41.955233 42.591487 43.133432
3.600000 41.359481 42.056339 42.587614 42.552664 43.081719 43.567483
3.640000 42.080683 42.608722 43.063795 43.065924 43.516214 44.024563
3.680000 42.834462 43.211146 43.731257 43.899185 44.614987 46.002157
3.720000 43.186594 43.670005 44.378670 44.759492 46.071143 47.791383
3.760000 43.586579 44.089485 45.290270 45.663291 47.415656 48.890039
3.800000 43.930599 44.554032 46.276722 46.482798 48.473679 50.020198
3.840000 44.212595 45.098035 47.017457 47.275023 49.585004 51.355869
3.880000 44.781801 45.747956 47.603312 48.103540 50.517429 52.391789
3.920000 45.176530 46.536180 48.360913 48.943945 51.458741 54.121609
3.960000 45.779018 47.590224 48.999514 49.939551 52.806162 55.379606
4.000000 46.181454 48.246224 49.953812 50.708180 53.673972 57.079382
4.040000 46.677696 48.917668 51.002011 51.494117 54.457510 57.827109
4.080000 47.314406 49.578665 51.841598 52.269226 55.100292 59.413541
4.120000 48.352553 50.059036 52.746520 52.989964 55.532748 60.081539
4.160000 48.934140 50.586123 53.737592 53.695560 55.978851 61.076486
4.200000 49.535554 51.118699 54.712771 54.391891 56.483940 61.935119
4.240000 50.227655 51.631526 55.393350 55.111528 57.059236 64.005840
4.280000 50.736044 52.235412 55.952093 55.821527 57.726074 65.763773
4.320000 51.262418 52.998461 56.538277 56.559968 58.499256 67.363426
4.360000 51.924869 54.083601 57.111066 57.427164 59.767034 68.341629
4.400000 52.528772 55.062292 57.614227 58.265189 60.758302 68.645709
4.440000 53.335980 55.780931 58.585352 59.141289 61.520429 69.135995
4.480000 54.603669 56.568063 59.975210 60.147792 62.540049 69.530228
4.520000 55.323745 57.372500 60.964565 61.376936 65.389555 69.961529
4.560000 56.487389 58.119465 61.735634 62.711640 68.266576 70.513360
4.600000 57.177930 58.843492 63.645241 64.200870 69.337598 70.937049
4.640000 57.820261 59.516673 66.394000 65.732992 70.179625 71.402321
4.680000 58.392062 60.000677 69.155708 67.161990 70.772011 72.165864
4.720000 58.770521 61.282969 69.909165 68.210488 71.214973 72.946939
4.760000 59.085800 62.862881 70.508393 69.016560 71.579034 73.477477
4.800000 59.398845 65.944156 70.959899 69.759887 71.988975 73.880493
4.840000 59.852244 69.009995 71.393472 70.486192 72.393922 74.309634
4.880000 60.345965 69.854802 71.722827 71.184105 72.752175 74.823834
4.920000 62.639825 70.524078 72.055558 71.708242 73.079994 75.448120
4.960000 65.757038 71.063105 72.338651 72.147794 73.398571 76.134937
5.000000 68.823825 71.475757 72.597753 72.575958 73.704501 76.851091
5.040000 69.385924 71.842985 72.868531 72.939649 73.902722 77.375070
5.080000 69.703943 72.201492 73.129584 73.267639 74.124992 77.719632
5.120000 70.106961 72.525289 73.384126 73.576018 74.348865 78.026919
5.160000 70.493821 72.875218 73.666081 73.916969 74.631883 78.319871
5.200000 71.196898 73.226465 74.014744 74.301748 74.999449 78.597430
5.240000 71.568634 73.564200 74.570793 74.902011 76.450985 78.925735
5.280000 72.090428 73.846954 75.152302 75.475203 77.117137 79.187663
5.320000 72.312129 74.159011 76.050001 76.061518 77.633550 79.695870
5.360000 72.673670 74.489652 76.808717 76.612974 77.976639 80.011009
5.400000 73.028305 74.901314 77.347850 77.107366 78.389997 80.573828
5.440000 73.398254 75.246155 77.748365 77.531894 78.683591 81.029929
5.480000 73.799609 76.199490 78.090195 77.940024 79.099317 82.636165
5.520000 74.062424 76.871941 78.458081 78.333468 79.487969 84.244976
5.560000 74.399630 77.332631 78.850762 78.738187 79.886474 84.974486
5.600000 74.821952 77.786594 79.291451 79.188904 80.332948 85.477237
