depth(m) lower_95(kyr) lower_68(kyr) median(kyr) mean(kyr) upper_68(kyr) upper_95(kyr)
0.010000 0.604119 0.794829 0.973155 0.972599 1.152827 1.336951
0.020000 0.721954 0.899673 1.090336 1.094334 1.283252 1.488491
0.050000 1.355122 1.876872 2.474322 2.373273 2.787734 3.028130
0.090000 3.328968 3.841338 4.459346 4.388718 4.899819 5.206101
0.130000 5.174840 5.841855 6.410266 6.363852 6.904845 7.299028
0.170000 7.049804 7.753128 8.379012 8.325556 8.875734 9.342720
0.210000 8.986162 9.676882 10.377986 10.313571 10.887778 11.450118
0.250000 10.898216 11.503429 12.158838 12.088373 12.603700 12.894741
0.290000 12.419149 12.797843 13.107916 13.116118 13.473181 13.751981
0.330000 12.964517 13.297832 13.628063 13.619737 13.932204 14.173024
0.370000 13.512449 13.803030 14.094932 14.076678 14.346412 14.576771
0.410000 13.940153 14.217765 14.459116 14.447716 14.682215 14.869005
0.450000 14.373796 14.574694 14.779330 14.775440 14.989469 15.166533
0.490000 14.661333 14.827886 15.007115 15.013951 15.210308 15.383692
0.530000 14.849629 14.993544 15.190014 15.190645 15.391196 15.551386
0.570000 14.996193 15.161685 15.333958 15.337765 15.517102 15.679808
0.610000 15.133758 15.290778 15.464446 15.469099 15.652453 15.816575
0.650000 15.230391 15.411055 15.595017 15.592260 15.779603 15.936442
0.690000 15.361558 15.531227 15.711942 15.714644 15.896883 16.071020
0.730000 15.476804 15.677244 15.854800 15.859004 16.056227 16.222600
0.770000 15.638186 15.825642 16.020143 16.023806 16.224188 16.418106
0.810000 15.824658 16.022712 16.227911 16.229146 16.434160 16.619434
0.850000 16.114973 16.301486 16.493362 16.511308 16.724112 16.990767
0.890000 16.389899 16.549322 16.764304 16.779729 16.999624 17.272083
0.930000 16.580694 16.780625 17.010377 17.021874 17.257948 17.504357
0.970000 16.796191 17.013941 17.234960 17.248986 17.497550 17.748177
1.010000 16.994080 17.230938 17.465537 17.476926 17.726845 17.950781
1.050000 17.196631 17.438799 17.687038 17.692546 17.939505 18.201864
1.090000 17.403424 17.660662 17.924065 17.910898 18.147518 18.427214
1.130000 17.618565 17.872050 18.130678 18.121062 18.351094 18.663020
1.170000 17.824865 18.085834 18.332784 18.327916 18.559434 18.828596
1.210000 18.020697 18.308180 18.538582 18.530129 18.759139 19.000922
1.250000 18.208292 18.502706 18.740992 18.731483 18.961902 19.193129
1.290000 18.420391 18.684175 18.936696 18.928337 19.165506 19.390557
1.330000 18.608426 18.892515 19.125497 19.119041 19.351168 19.560262
1.370000 18.790866 19.065236 19.319231 19.301415 19.515556 19.750245
1.410000 19.033159 19.265571 19.496250 19.490603 19.706745 19.925924
1.450000 19.270753 19.476144 19.684063 19.682700 19.890767 20.087697
1.490000 19.484024 19.672279 19.877204 19.874592 20.072693 20.257380
1.530000 19.671541 19.868887 20.064174 20.068066 20.260824 20.450224
1.570000 19.841788 20.066592 20.282249 20.287400 20.513510 20.767805
1.650000 20.098380 20.389291 20.688906 20.721367 21.042908 21.489701
1.690000 20.264878 20.571903 20.909004 20.949549 21.321803 21.769864
1.730000 20.457552 20.788171 21.142542 21.195826 21.613845 22.088611
1.760000 20.623119 20.964696 21.342636 21.384970 21.804722 22.322576
1.800000 20.853138 21.212325 21.608305 21.652778 22.106132 22.647290
