depth(m) lower_95(kyr) lower_68(kyr) median(kyr) mean(kyr) upper_68(kyr) upper_95(kyr)
0.005000 2.728341 2.947598 3.172509 3.176411 3.409884 3.613520
0.045000 2.853340 3.067162 3.338714 3.420932 3.766728 4.405423
0.085000 2.961029 3.187913 3.487256 3.590454 4.050187 4.630389
0.125000 3.058945 3.288756 3.633571 3.734998 4.238781 4.818524
0.165000 3.152546 3.397716 3.766767 3.869525 4.378521 4.979209
0.205000 3.246120 3.507473 3.892868 4.000445 4.540386 5.136819
0.245000 3.342738 3.599629 4.012717 4.123780 4.684582 5.289551
0.285000 3.418035 3.711659 4.124918 4.242644 4.834878 5.475473
0.325000 3.500304 3.815309 4.258351 4.360277 4.977700 5.606536
0.365000 3.623532 3.899901 4.372080 4.476488 5.097495 5.762525
0.405000 3.712689 3.985971 4.479370 4.589933 5.235354 5.909987
0.445000 3.808323 4.064324 4.596702 4.703647 5.363383 6.062636
0.485000 3.886718 4.165823 4.690477 4.822135 5.506739 6.184068
0.525000 3.998052 4.265247 4.812534 4.938307 5.646661 6.300341
0.565000 4.081197 4.372991 4.941432 5.054843 5.763321 6.431073
0.605000 4.189342 4.470095 5.081406 5.176563 5.919242 6.564811
0.645000 4.275736 4.602641 5.217604 5.300104 6.045014 6.722644
0.685000 4.352323 4.702953 5.346588 5.418727 6.171396 6.826216
0.725000 4.453844 4.809786 5.488568 5.539882 6.295642 6.939554
0.765000 4.576558 4.921044 5.624179 5.662599 6.406974 7.090659
0.805000 4.673563 5.045975 5.743173 5.785702 6.541135 7.221822
0.845000 4.771798 5.161089 5.879049 5.907794 6.660658 7.351429
0.885000 4.873598 5.292829 6.025987 6.033875 6.786808 7.431220
0.925000 4.967795 5.432142 6.163551 6.164685 6.899088 7.615290
0.965000 5.072462 5.555091 6.303053 6.292682 7.014481 7.803880
1.005000 5.188835 5.683198 6.447463 6.424424 7.127919 7.929802
1.045000 5.315200 5.816626 6.603640 6.558256 7.248887 8.066447
1.085000 5.418646 5.949416 6.743511 6.701403 7.391096 8.167481
1.125000 5.542310 6.113303 6.894226 6.847532 7.537337 8.340490
1.165000 5.653075 6.282312 7.040844 6.998034 7.654913 8.462186
1.205000 5.774505 6.468359 7.185331 7.150648 7.777359 8.558981
1.245000 5.917579 6.646272 7.343990 7.307901 7.958363 8.667326
1.285000 6.042156 6.819641 7.499815 7.462976 8.107014 8.824981
1.325000 6.196320 6.973065 7.651841 7.617097 8.273211 9.011443
1.360000 6.329489 7.102905 7.772796 7.748649 8.402200 9.086298
1.405000 6.504797 7.300728 7.945175 7.923819 8.561004 9.211270
1.445000 6.606660 7.470978 8.095278 8.076083 8.719571 9.344863
1.485000 6.741519 7.628125 8.257169 8.233822 8.865200 9.482152
1.525000 6.870381 7.752982 8.416022 8.389454 9.031871 9.636742
1.565000 7.055101 7.960069 8.568444 8.549769 9.184052 9.741126
1.605000 7.196372 8.124704 8.751503 8.713448 9.322244 9.851408
1.645000 7.359542 8.305977 8.926451 8.870342 9.471934 9.915812
1.685000 7.506080 8.470607 9.088787 9.023022 9.600857 10.046537
1.725000 7.711456 8.612768 9.244511 9.172877 9.742608 10.140454
1.765000 7.852062 8.789196 9.406937 9.323706 9.878578 10.256272
1.805000 8.038102 8.963357 9.561154 9.473480 10.001318 10.353372
1.845000 8.200518 9.124327 9.719759 9.619542 10.135516 10.474941
1.885000 8.441712 9.275992 9.866952 9.768785 10.250311 10.595166
1.925000 8.599616 9.466004 10.024135 9.930734 10.378115 10.704565
1.965000 8.879831 9.702381 10.207477 10.111499 10.520583 10.819077
2.005000 9.157802 9.897867 10.382436 10.295668 10.682661 10.971501
2.045000 9.513812 10.113804 10.571679 10.495469 10.859589 11.128273
2.085000 9.794025 10.375315 10.778014 10.714260 11.046435 11.313565
2.125000 10.109140 10.599824 10.984463 10.933309 11.244443 11.518704
