depth(m) lower_95(kyr) lower_68(kyr) median(kyr) mean(kyr) upper_68(kyr) upper_95(kyr)
0.000000 0.395632 0.576064 0.787069 0.777805 0.972626 1.136489
0.010000 0.410805 0.595462 0.806923 0.797495 0.990866 1.158287
0.050000 0.498305 0.685884 0.898690 0.896244 1.098262 1.309219
0.100000 0.579753 0.784516 1.013653 1.036937 1.290114 1.578995
0.140000 0.662872 0.844658 1.101378 1.134510 1.400767 1.813930
0.150000 0.679019 0.865502 1.121531 1.156076 1.425348 1.857023
0.180000 0.737805 0.933908 1.190676 1.235347 1.527080 2.047998
0.220000 0.800175 1.005794 1.282572 1.353662 1.710663 2.279873
0.250000 0.851710 1.061902 1.348707 1.429435 1.801210 2.475323
0.260000 0.865089 1.081642 1.366216 1.450837 1.827693 2.504991
0.300000 0.913720 1.155897 1.463241 1.574976 1.977203 2.950261
0.320000 0.940855 1.186938 1.505001 1.621078 2.026391 3.020929
0.340000 0.966117 1.220503 1.541580 1.666998 2.092254 3.169904
0.350000 0.974814 1.236961 1.567111 1.687827 2.114503 3.212243
0.360000 0.993615 1.255966 1.583541 1.709250 2.139628 3.232781
0.380000 1.019344 1.290152 1.633676 1.760973 2.209435 3.308130
0.400000 1.039212 1.325274 1.684976 1.813175 2.275990 3.456720
0.420000 1.062976 1.371203 1.725145 1.866555 2.333980 3.509235
0.440000 1.088207 1.406892 1.774219 1.920096 2.406437 3.562376
0.460000 1.119532 1.443684 1.818619 1.972487 2.492985 3.661749
0.480000 1.150839 1.481016 1.865680 2.025883 2.569263 3.775061
0.500000 1.183452 1.517618 1.926562 2.078672 2.639656 3.929539
0.530000 1.234278 1.577167 2.005462 2.177711 2.741758 4.278698
0.540000 1.245178 1.597567 2.027665 2.200303 2.783340 4.309950
0.570000 1.279214 1.658788 2.114709 2.295774 2.907106 4.447019
0.580000 1.293038 1.679691 2.139845 2.318507 2.926803 4.469040
0.600000 1.322308 1.717772 2.190176 2.370279 2.981459 4.550762
0.620000 1.350696 1.761948 2.235408 2.423886 3.048597 4.596156
0.640000 1.393598 1.800754 2.288316 2.475921 3.111356 4.658217
0.650000 1.420765 1.819967 2.310693 2.498070 3.138693 4.668448
0.660000 1.438977 1.843137 2.341507 2.519938 3.154299 4.681407
0.680000 1.472504 1.878216 2.389869 2.568196 3.203356 4.767885
0.730000 1.547317 1.993795 2.530907 2.729074 3.441878 4.917988
0.740000 1.565606 2.019333 2.556269 2.751451 3.479630 4.940861
0.780000 1.613695 2.102831 2.672894 2.858903 3.627983 5.045621
0.860000 1.740597 2.286715 2.935046 3.161744 4.153256 5.538302
0.900000 1.788685 2.370529 3.022904 3.268077 4.276882 5.684125
0.940000 1.843310 2.459918 3.102587 3.368100 4.412470 5.821423
0.950000 1.866146 2.477252 3.125689 3.388479 4.431338 5.846874
0.980000 1.920290 2.535677 3.189407 3.451681 4.489919 5.912066
1.020000 1.991974 2.611622 3.276445 3.543493 4.572471 6.033460
1.060000 2.042927 2.688944 3.377874 3.638099 4.675344 6.166314
1.140000 2.204319 2.908426 3.611611 3.864593 4.991878 6.519393
1.260000 2.364318 3.205758 4.167687 4.307608 5.516344 7.147243
1.380000 2.543512 3.485319 4.652477 4.743203 6.068194 7.613576
1.420000 2.596285 3.568485 4.783560 4.843161 6.193952 7.697154
1.460000 2.684907 3.665482 4.901336 4.938276 6.292438 7.788796
1.480000 2.725105 3.702874 4.939656 4.982761 6.335823 7.847264
1.530000 2.830430 3.828415 5.100987 5.121040 6.488212 7.974180
1.580000 2.972412 3.974287 5.233726 5.269947 6.657363 8.086948
1.620000 3.062391 4.078638 5.342262 5.385473 6.785508 8.195327
1.700000 3.403708 4.410217 5.714772 5.773301 7.180419 8.777689
1.740000 3.520443 4.528839 5.833620 5.893278 7.320868 8.954747
1.780000 3.637713 4.644393 5.952483 6.008535 7.464951 9.036234
1.820000 3.763125 4.749772 6.036896 6.123276 7.585552 9.120725
1.850000 3.839243 4.819308 6.112024 6.200286 7.676275 9.195597
1.860000 3.868943 4.845148 6.135793 6.223037 7.685849 9.226734
1.900000 4.048223 5.015403 6.244612 6.368227 7.791852 9.302186
1.940000 4.243107 5.189362 6.382960 6.510680 7.890044 9.376830
1.950000 4.270805 5.212799 6.396740 6.533746 7.906164 9.393939
1.980000 4.375953 5.306298 6.476300 6.616356 7.985151 9.459445
2.020000 4.541225 5.417289 6.592390 6.740777 8.098611 9.514593
2.060000 4.724107 5.561380 6.689548 6.859715 8.184522 9.596014
2.100000 4.828998 5.665974 6.786513 6.966402 8.292117 9.669433
2.140000 4.980277 5.781371 6.872742 7.069819 8.416087 9.730492
2.180000 5.112229 5.888701 6.993771 7.169354 8.509192 9.822247
2.312500 5.502683 6.531676 7.603867 7.726917 8.988552 10.311845
2.445000 5.903251 7.115354 8.230566 8.307359 9.673909 10.724385
2.577500 6.391372 7.653591 8.762635 8.863533 10.304724 11.193713
2.710000 6.714285 8.136332 9.253750 9.400158 10.933215 11.659947
2.750000 6.785019 8.233444 9.321303 9.490749 11.029510 11.746500
2.790000 6.870160 8.289713 9.416693 9.577016 11.117380 11.885777
2.830000 6.956168 8.367303 9.495417 9.659268 11.187883 11.951381
2.870000 7.059906 8.430528 9.584095 9.739894 11.267209 12.010328
2.910000 7.142152 8.509389 9.666140 9.816382 11.352309 12.130426
2.950000 7.245095 8.579242 9.728377 9.890741 11.415980 12.181011
3.053333 7.555444 8.782759 9.943496 10.086200 11.557851 12.287578
3.156667 7.927466 8.980241 10.180552 10.284621 11.700289 12.477771
3.260000 8.208355 9.199467 10.385097 10.477995 11.840294 12.645392
3.395455 8.467010 9.459302 10.650025 10.728767 11.995167 12.858182
3.530909 8.795345 9.745480 10.918494 10.972398 12.195252 13.071843
3.666364 9.013703 10.039781 11.168385 11.223703 12.440301 13.260684
3.801818 9.352759 10.300590 11.452378 11.465933 12.648789 13.513654
3.937273 9.613522 10.589847 11.706489 11.702671 12.842415 13.716889
4.072727 9.889990 10.870799 11.937369 11.942717 13.052088 13.919601
4.208182 10.223252 11.103430 12.167928 12.184499 13.268342 14.140182
4.343636 10.548420 11.386230 12.373266 12.412960 13.467540 14.366283
4.479091 10.798757 11.647317 12.613762 12.643401 13.682788 14.525097
4.614545 11.041471 11.904359 12.831754 12.871417 13.893460 14.718673
4.750000 11.297292 12.163940 13.066694 13.103146 14.100310 14.991193
4.894615 11.545584 12.454330 13.319869 13.351628 14.356862 15.243451
