depth(m) lower_95(kyr) lower_68(kyr) median(kyr) mean(kyr) upper_68(kyr) upper_95(kyr)
0.030000 0.011189 0.053062 0.130362 0.142271 0.229082 0.326800
0.100000 0.154011 0.265016 0.423520 0.454815 0.617721 0.960015
0.150000 0.285920 0.428676 0.631231 0.675894 0.933638 1.315225
0.200000 0.436816 0.598045 0.843229 0.901287 1.216039 1.688241
0.300000 0.680369 0.905949 1.248722 1.339249 1.756238 2.468690
0.350000 0.841711 1.092906 1.476281 1.574289 2.004655 2.888311
0.400000 1.010178 1.295096 1.693257 1.810618 2.303144 3.188036
0.500000 1.337264 1.662464 2.151900 2.300579 2.972301 4.316346
0.550000 1.494012 1.858612 2.364250 2.537502 3.276141 4.687059
0.600000 1.740590 2.066711 2.604575 2.782593 3.520399 5.028956
0.650000 1.916694 2.297003 2.850776 3.033746 3.774958 5.299670
0.700000 2.120653 2.505247 3.102878 3.289099 4.061382 5.624638
0.800000 2.472469 2.930510 3.596659 3.805719 4.684597 6.239890
0.850000 2.706112 3.144168 3.868453 4.069963 5.033121 6.469327
0.900000 2.920063 3.370316 4.171848 4.341059 5.367243 6.731917
0.950000 3.103568 3.589061 4.458307 4.613373 5.674966 6.927876
1.000000 3.319923 3.836283 4.743945 4.884431 5.954725 7.159274
1.050000 3.526861 4.141023 5.036117 5.175577 6.295472 7.410146
1.100000 3.821792 4.426933 5.328332 5.460884 6.634458 7.666133
1.150000 4.115922 4.698692 5.645831 5.757600 6.916888 7.905818
1.200000 4.386775 4.989021 5.932418 6.064979 7.257276 8.195782
1.250000 4.628170 5.324535 6.264944 6.363729 7.545822 8.471370
1.300000 4.937001 5.661019 6.528421 6.658239 7.829328 8.674235
1.350000 5.227659 5.953832 6.802403 6.946217 8.110942 8.844214
1.400000 5.519114 6.277804 7.126226 7.236565 8.380426 9.110707
1.450000 5.807662 6.572144 7.402091 7.518771 8.626763 9.366525
1.500000 6.089690 6.889559 7.685482 7.808328 8.861925 9.597371
1.550000 6.434217 7.167106 8.010607 8.111808 9.157466 9.853332
1.600000 6.746815 7.491118 8.354523 8.420630 9.418085 10.053149
1.650000 7.086530 7.813497 8.659711 8.734809 9.719247 10.296884
1.700000 7.334241 8.120094 9.033043 9.040927 9.987754 10.555516
1.750000 7.774045 8.440423 9.332327 9.334865 10.259913 10.738464
1.800000 8.120577 8.740788 9.658378 9.624991 10.497650 10.936855
1.850000 8.351617 9.027404 9.929979 9.889180 10.746964 11.176381
1.950000 8.922866 9.599088 10.406864 10.361115 11.100367 11.533617
2.000000 9.227244 9.903254 10.655969 10.600847 11.310328 11.728857
2.050000 9.495241 10.160772 10.880622 10.826404 11.483596 11.879989
2.100000 9.794643 10.439100 11.086377 11.056567 11.681395 12.066964
2.150000 10.104961 10.744258 11.334582 11.305938 11.876849 12.261236
2.200000 10.526388 11.038843 11.611361 11.577444 12.089557 12.517005
2.250000 10.840261 11.382832 11.889048 11.864167 12.346853 12.734732
2.350000 11.667916 12.068259 12.465972 12.481467 12.908888 13.355558
2.400000 11.979062 12.346101 12.730066 12.754665 13.172372 13.593707
2.450000 12.301851 12.672654 13.067221 13.065999 13.466186 13.832877
2.500000 12.595808 12.991144 13.368166 13.362238 13.753137 14.052991
2.550000 12.846390 13.270643 13.660950 13.638629 14.031288 14.298346
2.600000 13.067180 13.550150 13.932900 13.897670 14.256748 14.497868
2.650000 13.296488 13.836271 14.180556 14.133083 14.463884 14.705199
2.700000 13.509264 14.070457 14.404622 14.353386 14.671276 14.930113
2.750000 13.723658 14.291434 14.614787 14.564424 14.848006 15.110984
2.800000 13.942625 14.555908 14.833265 14.794816 15.052153 15.333360
2.850000 14.332831 14.766461 15.014901 15.013216 15.278470 15.628978
2.900000 14.576450 14.969508 15.219736 15.246654 15.561794 16.018028
2.950000 14.938563 15.215342 15.491717 15.541939 15.895800 16.410690
3.000000 15.550412 15.908624 16.425182 16.455632 17.006151 17.532454
3.050000 15.969732 16.387425 16.910843 16.965552 17.517585 18.356049
3.100000 16.381127 16.856082 17.502592 17.595583 18.347024 19.329849
3.150000 16.709685 17.333464 18.066156 18.187885 19.145345 20.139366
