depth(m) lower_95(kyr) lower_68(kyr) median(kyr) mean(kyr) upper_68(kyr) upper_95(kyr)
0.015000 0.021408 0.091889 0.214235 0.220874 0.344965 0.468344
0.140000 0.459930 0.752964 1.191428 1.349499 1.952354 3.109659
0.160000 0.547079 0.875971 1.368200 1.505872 2.121101 3.244950
0.240000 0.977327 1.442788 2.122062 2.254306 3.065098 4.248602
0.320000 1.407575 2.072652 2.866091 2.973479 3.852342 5.123824
0.360000 1.658921 2.377785 3.221578 3.306354 4.224219 5.497846
0.420000 2.040573 2.845826 3.730638 3.821124 4.797630 5.911088
0.480000 2.444206 3.354250 4.268423 4.358427 5.450611 6.446554
0.560000 3.095266 4.127397 5.167297 5.191838 6.266611 7.333091
0.640000 3.766855 4.952211 6.120689 6.053919 7.078223 8.192818
0.720000 4.642167 6.014517 7.030496 7.024224 8.061214 9.123121
0.790000 5.298210 6.916868 7.858852 7.851803 8.950849 9.942918
0.800000 5.350032 6.997377 7.926558 7.928280 9.017788 10.016015
0.840000 5.667571 7.311974 8.320310 8.293378 9.332170 10.299930
0.940000 8.038931 8.909402 9.683535 9.660288 10.421004 11.101981
0.980000 8.403122 9.255563 10.019383 9.981222 10.702811 11.362120
1.000000 8.530206 9.407774 10.171877 10.124057 10.837408 11.475190
1.020000 8.702194 9.557167 10.331753 10.265217 10.954324 11.599163
1.040000 8.901375 9.691111 10.492492 10.406756 11.086345 11.702200
1.060000 9.069735 9.871039 10.636614 10.558490 11.220662 11.801478
1.100000 9.470113 10.247377 10.991993 10.917932 11.533475 12.023004
1.120000 9.677383 10.424268 11.146773 11.064212 11.656767 12.159656
1.130000 9.757320 10.478645 11.216585 11.131530 11.721525 12.199008
1.140000 9.857657 10.554941 11.282697 11.199106 11.798795 12.252785
1.160000 9.984243 10.725570 11.402394 11.339895 11.930242 12.379228
1.180000 10.196961 10.896098 11.541282 11.483783 12.048935 12.507917
1.200000 10.354300 11.061352 11.683866 11.627740 12.178270 12.599978
1.220000 10.562291 11.235666 11.826086 11.771443 12.303110 12.698024
1.260000 11.108431 11.655878 12.134535 12.106157 12.565251 12.970230
1.300000 11.660550 12.103442 12.477355 12.490011 12.884784 13.344060
1.320000 11.801448 12.245928 12.621638 12.630495 13.024543 13.504824
1.340000 11.948410 12.385612 12.749040 12.762126 13.152126 13.623523
1.360000 12.087040 12.503551 12.879775 12.891505 13.276729 13.741462
1.380000 12.203525 12.615864 13.000435 13.009826 13.386905 13.874494
1.400000 12.337761 12.727544 13.115733 13.121230 13.498982 13.980108
1.460000 12.686960 13.067622 13.404758 13.427719 13.804112 14.254342
1.480000 12.763339 13.170011 13.517124 13.531769 13.903834 14.362592
1.500000 12.884718 13.273974 13.633009 13.641297 14.019883 14.461364
1.540000 13.196086 13.527989 13.864265 13.878527 14.234951 14.657648
1.560000 13.298654 13.666604 13.974401 13.995355 14.351666 14.772844
1.620000 13.664134 14.012956 14.302493 14.324567 14.677649 14.975422
1.660000 13.860516 14.226419 14.531817 14.555578 14.924278 15.183763
1.680000 13.992956 14.365025 14.664879 14.685465 15.054823 15.304784
1.700000 14.165275 14.513631 14.802030 14.814431 15.168175 15.381344
1.780000 14.694779 15.027438 15.309722 15.292217 15.554929 15.783436
1.820000 14.980726 15.282942 15.558367 15.537874 15.784333 16.029891
1.840000 15.111929 15.414151 15.689831 15.666279 15.905331 16.142271
1.860000 15.243556 15.549659 15.816354 15.797878 16.034213 16.261533
1.900000 15.521806 15.813299 16.045089 16.044341 16.286521 16.525640
1.940000 15.785127 16.044966 16.276276 16.283651 16.537073 16.814693
1.980000 16.002644 16.248292 16.496075 16.512165 16.787543 17.095948
2.020000 16.192061 16.454409 16.723778 16.744915 17.042139 17.434824
2.060000 16.338883 16.641948 16.933911 16.969295 17.305674 17.764875
2.100000 16.533998 16.833737 17.151101 17.200729 17.593977 18.149169
2.180000 16.824415 17.150823 17.531091 17.649522 18.157699 19.104190
2.220000 16.991794 17.319532 17.743158 17.876558 18.446756 19.511849
2.260000 17.180527 17.504435 17.948347 18.095340 18.708362 19.779330
2.300000 17.321121 17.696754 18.178346 18.332262 18.998720 20.039062
2.340000 17.523425 17.890426 18.394867 18.562134 19.298092 20.319352
2.420000 17.810234 18.229086 18.815159 19.000762 19.846029 20.948798
2.440000 17.910644 18.312273 18.922814 19.111131 19.983462 21.085405
2.480000 18.134198 18.539915 19.134709 19.341626 20.252514 21.496532
2.500000 18.266851 18.645658 19.252546 19.457446 20.387129 21.568138
