depth(m) lower_95(kyr) lower_68(kyr) median(kyr) mean(kyr) upper_68(kyr) upper_95(kyr)
0.050000 0.006441 0.030956 0.107085 0.130736 0.231647 0.366656
0.100000 0.098277 0.159973 0.264096 0.272556 0.382350 0.507112
0.150000 0.212103 0.292693 0.400632 0.409167 0.518845 0.663432
0.170000 0.266406 0.357454 0.463494 0.475493 0.591148 0.736009
0.200000 0.347992 0.459636 0.581012 0.593272 0.723335 0.911670
0.250000 0.472720 0.596257 0.763271 0.801759 0.969967 1.306507
0.300000 0.588104 0.744738 0.949815 1.012263 1.275098 1.791813
0.350000 0.716938 0.895473 1.141458 1.223655 1.550636 2.193735
0.400000 0.845992 1.054258 1.329089 1.430916 1.822104 2.595720
0.450000 0.983060 1.218467 1.536056 1.647411 2.079031 3.054702
0.490000 1.100553 1.361127 1.722356 1.831015 2.299771 3.216054
0.540000 1.269903 1.549732 1.951003 2.066211 2.576842 3.526423
0.590000 1.438451 1.727476 2.194924 2.306911 2.850297 3.878738
0.640000 1.619111 1.902902 2.437136 2.534961 3.139555 4.138961
0.690000 1.769394 2.099876 2.660858 2.761521 3.393802 4.395904
0.740000 1.946414 2.298746 2.905370 2.992844 3.665752 4.700768
0.790000 2.110376 2.493015 3.139085 3.219987 3.890737 5.032609
0.840000 2.288487 2.738690 3.371802 3.464778 4.178401 5.206755
0.890000 2.464859 2.984259 3.634748 3.710026 4.391215 5.464116
0.940000 2.617279 3.238382 3.889752 3.969954 4.649161 5.711564
0.990000 2.809017 3.454909 4.172259 4.222737 4.937455 5.952747
1.030000 2.963220 3.665762 4.374590 4.421915 5.126145 6.217632
1.080000 3.146485 3.890812 4.604831 4.651854 5.368915 6.490794
1.130000 3.332255 4.114250 4.822822 4.862947 5.585512 6.750907
1.180000 3.505541 4.291979 5.036137 5.065522 5.809200 6.966124
1.230000 3.696365 4.471544 5.263673 5.267926 6.042509 7.156642
1.280000 3.822666 4.638792 5.452466 5.468428 6.256939 7.404640
1.330000 4.025154 4.853717 5.666898 5.674094 6.464287 7.584327
1.380000 4.169653 5.046698 5.892459 5.879753 6.647173 7.752407
