depth(m) lower_95(kyr) lower_68(kyr) median(kyr) mean(kyr) upper_68(kyr) upper_95(kyr)
0.000000 1.459272 2.895805 3.992338 3.806375 4.669257 5.214305
0.100000 2.550035 3.825970 4.610710 4.479760 5.211817 5.621823
0.200000 3.938510 4.748339 5.254855 5.202438 5.692455 6.042464
0.300000 5.587264 5.805803 6.054672 6.045398 6.272308 6.491797
0.400000 6.384474 6.668702 7.092193 7.296406 7.935436 9.349882
0.500000 7.898276 8.903899 10.814282 10.444994 11.648873 12.184583
0.600000 12.104695 12.473067 12.933484 12.944064 13.427434 13.849810
0.700000 12.946854 13.336177 13.733013 13.719970 14.102930 14.478636
0.800000 13.643994 14.047329 14.413590 14.394720 14.748858 15.063928
0.900000 14.585117 14.932363 15.256643 15.234019 15.526740 15.762356
1.000000 15.483498 15.810061 16.126026 16.125933 16.445775 16.824726
1.100000 16.307199 16.677394 17.129287 17.167863 17.623413 18.345401
1.200000 17.073997 17.609937 18.127353 18.196564 18.780768 19.742546
1.300000 18.038461 18.655430 19.127799 19.226357 19.888028 20.866766
1.400000 18.895297 19.559212 20.091971 20.270762 20.952525 22.815467
1.500000 19.757751 20.401651 21.115081 21.253555 21.903503 24.039468
1.600000 20.739855 21.383167 22.034883 22.237204 22.847339 25.149659
1.700000 22.198325 22.607508 23.198440 23.682798 25.390883 26.536767
1.800000 22.891860 23.206354 24.089777 24.779650 26.619571 27.611886
1.900000 23.271983 23.643636 25.961609 25.522464 27.321198 28.218752
2.000000 23.590432 24.067694 26.503393 26.075962 27.838887 28.771134
2.100000 23.992594 24.575494 26.914570 26.587744 28.240224 29.219307
2.200000 24.480774 25.173027 27.390881 27.079570 28.639047 29.684184
2.300000 25.096936 25.865327 27.872037 27.588562 29.047380 29.998237
2.400000 25.721969 26.689467 28.357969 28.161282 29.502962 30.358251
2.500000 26.541048 27.512504 28.909799 28.778354 29.960365 30.708528
2.600000 27.441196 28.421294 29.520231 29.424775 30.343394 31.054513
2.700000 28.302115 29.295637 30.125211 30.045978 30.752044 31.399652
2.800000 29.225429 30.097261 30.693916 30.639424 31.171268 31.795737
2.900000 30.136529 30.767133 31.209558 31.200009 31.650856 32.132120
3.000000 30.619328 31.166271 31.622363 31.618242 32.066350 32.523071
3.100000 31.031985 31.594988 31.995093 32.003092 32.458957 32.922763
3.200000 31.404963 31.964502 32.355298 32.374229 32.815415 33.270535
3.300000 31.831597 32.325240 32.719892 32.738067 33.172250 33.602801
3.400000 32.216475 32.716632 33.135809 33.135472 33.574450 33.977152
3.500000 32.662035 33.141467 33.555477 33.577238 34.005045 34.508988
3.600000 33.196951 33.709872 34.144832 34.143892 34.596273 35.051645
3.700000 33.843009 34.328079 34.893122 34.902995 35.448707 36.064042
3.800000 34.494391 34.981732 35.720906 35.681118 36.303846 36.908627
3.900000 35.283513 35.962295 36.661102 36.619848 37.251103 37.829868
4.000000 36.316376 36.937082 37.537760 37.528067 38.129622 38.701332
4.100000 37.386788 37.937139 38.458847 38.466124 39.006970 39.523342
4.200000 38.457050 38.998771 39.462899 39.497869 40.029676 40.683732
4.300000 39.310281 39.737342 40.223466 40.272825 40.845313 41.558914
4.400000 39.856325 40.319219 40.900697 40.956374 41.641721 42.329279
