depth(m) lower_95(kyr) lower_68(kyr) median(kyr) mean(kyr) upper_68(kyr) upper_95(kyr)
0.020000 0.419800 0.551443 0.692874 0.686274 0.813561 0.927575
0.100000 0.725727 0.920178 1.178809 1.284662 1.592020 2.677132
0.200000 1.114239 1.477218 1.963888 2.185504 2.990995 4.148916
0.300000 1.550258 2.145198 2.931314 3.082079 4.034848 5.339435
0.400000 2.165295 2.895769 3.829025 3.994409 5.279823 6.498331
0.500000 2.894627 3.785593 4.890302 4.970772 6.229039 7.484331
0.600000 3.717068 4.700567 5.953490 5.978136 7.251915 8.376232
0.700000 4.785256 5.754480 6.979500 6.962963 8.157595 9.304954
0.800000 5.721946 6.775900 7.891022 7.896089 9.005408 9.969823
0.900000 6.774525 7.756181 8.936893 8.887897 9.953497 10.837935
1.000000 7.892995 8.960367 9.977427 9.925213 10.960515 11.694732
1.100000 9.252772 10.174210 11.287013 11.180452 12.104859 12.693506
1.200000 10.859985 11.800896 12.464519 12.388861 12.977180 13.463638
1.300000 12.136920 12.723854 13.200364 13.186576 13.671375 14.131091
1.400000 12.969721 13.429269 13.843626 13.844547 14.237947 14.681121
1.500000 13.602631 14.096063 14.473594 14.453748 14.819922 15.136725
1.600000 14.242701 14.662570 14.996202 14.978483 15.313164 15.580173
1.700000 14.777187 15.205321 15.474693 15.464010 15.747865 16.048820
1.800000 15.323216 15.657628 15.951303 15.951132 16.249392 16.617694
1.900000 15.806453 16.130465 16.458772 16.474825 16.816120 17.205857
2.000000 16.554571 16.857886 17.192644 17.194601 17.535250 17.849518
2.015000 16.622469 16.918709 17.262447 17.268186 17.605238 17.905248
2.157500 17.108320 17.481451 17.902864 17.928687 18.356006 18.831394
2.300000 17.412715 17.984999 18.514664 18.533921 19.079915 19.691940
2.400000 17.678353 18.278253 18.947717 18.939623 19.566827 20.261753
2.500000 17.915865 18.689165 19.310302 19.325645 19.957711 20.813363
2.600000 18.163190 19.028597 19.650994 19.679745 20.318470 21.310414
2.700000 18.440685 19.350570 20.003020 20.009890 20.666982 21.639509
2.800000 18.753463 19.665921 20.323432 20.327242 20.989694 22.032182
2.900000 19.054017 19.953025 20.637258 20.632128 21.274138 22.343120
3.000000 19.496444 20.229519 20.915021 20.915780 21.562810 22.582527
3.100000 19.795256 20.493153 21.181247 21.187308 21.861781 22.820153
3.200000 20.094879 20.757887 21.437677 21.452681 22.120225 23.075951
3.300000 20.381801 21.068385 21.691087 21.719004 22.360428 23.401506
3.400000 20.628937 21.321564 21.921139 21.974067 22.591042 23.746621
3.500000 20.946008 21.585193 22.160464 22.226083 22.853882 24.011354
3.600000 21.286056 21.854781 22.422820 22.488074 23.125147 24.255807
3.700000 21.566143 22.123974 22.652906 22.753445 23.388549 24.485673
3.800000 21.805285 22.407034 22.905913 23.020241 23.632008 24.759707
3.900000 22.147887 22.675721 23.163568 23.284274 23.896723 25.004610
4.000000 22.421666 22.944215 23.429998 23.536485 24.156505 25.195742
4.100000 22.640005 23.176362 23.646930 23.790058 24.517323 25.452867
4.200000 22.873565 23.405531 23.877084 24.031920 24.804541 25.649734
4.300000 23.133200 23.624885 24.086592 24.275820 25.103582 25.858546
4.400000 23.362761 23.868008 24.313439 24.523900 25.399361 26.075930
4.500000 23.546195 24.104723 24.552729 24.765911 25.647672 26.304953
4.600000 23.728188 24.302441 24.800889 25.002364 25.925487 26.544544
4.700000 23.945630 24.500447 25.055897 25.239236 26.183351 26.764445
4.800000 24.172647 24.712822 25.331453 25.482743 26.419888 27.030420
4.900000 24.415917 24.905131 25.585198 25.731639 26.653201 27.327877
5.000000 24.623057 25.113811 25.874150 25.978903 26.928389 27.558333
5.100000 24.749192 25.338680 26.127352 26.235408 27.191364 27.880367
5.200000 25.010901 25.565298 26.396851 26.511138 27.492738 28.277087
5.300000 25.231317 25.796544 26.671983 26.791430 27.829506 28.725173
5.400000 25.515874 26.068691 26.967755 27.101234 28.162431 29.341543
5.500000 25.732165 26.379539 27.270827 27.425709 28.497292 29.781340
5.600000 25.985784 26.676109 27.619175 27.766148 28.855135 30.208277
