depth(m) lower_95(kyr) lower_68(kyr) median(kyr) mean(kyr) upper_68(kyr) upper_95(kyr)
0.000000 3.371728 3.769108 4.226572 4.212159 4.626084 5.008823
0.050000 4.042983 4.636824 5.235378 5.339777 6.054166 7.182087
0.100000 4.850011 5.610685 6.530700 6.644777 7.716477 9.118926
0.150000 5.932803 7.002232 8.108242 8.192600 9.527751 10.328534
0.200000 7.773725 8.808569 10.092337 9.981572 11.109817 11.851235
0.250000 8.951285 10.248819 11.325539 11.181653 12.052128 12.652083
0.350000 12.164951 12.675400 13.245566 13.238143 13.794605 14.299421
0.400000 12.883816 13.393412 13.936667 13.914196 14.418131 14.913325
0.450000 13.380472 13.952062 14.466368 14.484436 15.051873 15.496441
0.550000 14.521148 14.923572 15.618975 15.700561 16.514463 17.224301
0.625000 15.423966 16.135365 17.175093 17.218721 18.265413 19.513867
0.700000 16.836100 17.669734 18.762412 18.855921 20.109333 21.048552
0.750000 17.391619 18.568442 19.813083 19.823180 21.139711 22.029687
0.800000 17.878352 19.321706 20.942285 20.799206 22.181035 22.967912
0.850000 18.432825 20.008909 22.107718 21.666959 23.098071 23.710001
0.900000 19.307719 20.686147 22.750339 22.358123 23.749709 24.307330
1.000000 20.727555 22.090523 23.930983 23.593829 24.831346 25.530697
1.050000 21.421933 22.787338 24.481311 24.191050 25.378641 26.155096
1.100000 22.026271 23.554250 24.990930 24.804225 25.966344 26.750368
1.150000 22.652906 24.383565 25.555116 25.443277 26.581750 27.373738
1.200000 23.741345 25.109279 26.159001 26.127780 27.266258 28.131716
1.250000 24.600401 25.775165 26.822180 26.834644 27.962147 28.965635
1.300000 25.493526 26.508101 27.574813 27.591276 28.733505 29.789064
1.350000 26.216450 27.203749 28.269053 28.311784 29.538850 30.427740
1.400000 26.889532 27.932250 29.004887 29.033125 30.264604 31.052156
1.450000 27.550504 28.639167 29.685762 29.704207 30.904674 31.634191
1.500000 28.163097 29.364220 30.349628 30.341803 31.429710 32.087268
1.550000 28.747092 29.949145 31.051333 30.954957 31.960028 32.536014
1.600000 29.338992 30.542401 31.699256 31.538547 32.458335 32.997248
1.650000 30.016544 31.160380 32.291540 32.078798 32.874253 33.398743
1.700000 30.499543 31.759904 32.799312 32.588367 33.301815 33.768774
1.750000 31.198725 32.378282 33.225179 33.057306 33.708428 34.118643
1.800000 31.801356 32.898041 33.608017 33.480620 34.058712 34.456266
1.900000 33.204306 33.812451 34.263693 34.214399 34.638164 34.955401
1.950000 33.872902 34.273237 34.648978 34.630403 34.998217 35.282560
2.000000 34.525977 34.796209 35.116781 35.111299 35.422165 35.720999
