depth(m) lower_95(kyr) lower_68(kyr) median(kyr) mean(kyr) upper_68(kyr) upper_95(kyr)
0.100000 0.303369 0.525755 0.743753 0.736229 0.937941 1.138509
0.125000 0.442322 0.627487 0.836321 0.837441 1.046296 1.229125
0.200000 0.672148 0.902304 1.172344 1.197419 1.455783 1.963485
0.300000 0.944932 1.259093 1.639835 1.696463 2.120687 2.853169
0.400000 1.258977 1.651343 2.147640 2.224115 2.790293 3.660049
0.500000 1.576865 2.090215 2.681960 2.752448 3.416847 4.264429
0.600000 1.925546 2.561611 3.261582 3.312170 4.039586 5.062782
0.700000 2.358690 3.111154 3.836825 3.897674 4.664435 5.714948
0.800000 2.874942 3.704819 4.458731 4.511779 5.379776 6.319239
0.900000 3.282484 4.243726 5.088916 5.116371 6.000947 6.969996
1.000000 3.790403 4.817119 5.764978 5.727381 6.698754 7.520297
1.100000 4.324934 5.365973 6.417523 6.376170 7.367601 8.142119
1.200000 4.934465 6.017633 7.154233 7.063253 8.084458 8.788290
1.300000 5.637930 6.662741 7.915774 7.750939 8.746408 9.473776
1.350000 5.837962 6.954644 8.166896 8.013751 9.014979 9.791624
1.390000 6.022494 7.128805 8.361932 8.209836 9.199334 9.958402
1.450000 6.307047 7.458061 8.701503 8.531540 9.505483 10.286292
1.500000 6.525508 7.714617 8.970143 8.790137 9.768554 10.591940
1.510000 6.566460 7.749835 9.011374 8.833312 9.822286 10.617281
1.550000 6.746090 8.001202 9.197151 9.045284 10.012497 10.753672
1.600000 7.076662 8.286837 9.456826 9.320646 10.285040 10.967005
1.700000 8.399688 9.416583 10.382224 10.258485 11.058648 11.545894
1.800000 9.443520 10.393408 11.193075 11.078705 11.712958 12.146526
1.900000 10.484335 11.204187 11.779841 11.715776 12.226606 12.676183
2.000000 11.336463 11.871153 12.321852 12.306612 12.750233 13.152639
2.100000 12.103731 12.556995 12.954795 12.944362 13.341969 13.738614
2.200000 12.609550 13.071063 13.470622 13.449272 13.822009 14.176555
2.250000 12.797059 13.306087 13.712546 13.686346 14.076290 14.379895
