depth(m) lower_95(kyr) lower_68(kyr) median(kyr) mean(kyr) upper_68(kyr) upper_95(kyr)
0.050000 2.235712 2.487993 2.759186 2.768071 3.051180 3.301534
0.150000 3.170871 3.682704 4.349045 4.735217 6.110326 7.634361
0.250000 4.741886 5.652129 7.680697 7.504511 9.046875 10.265200
0.350000 8.295741 9.517522 11.200889 11.050525 12.383940 13.591834
0.450000 12.997761 14.603533 15.233532 15.092368 15.718026 16.102834
0.550000 14.399295 15.441453 15.993562 15.930219 16.504401 16.967523
0.650000 15.743794 16.195976 16.631817 16.663880 17.152864 17.724225
0.750000 16.675272 17.044326 17.523083 17.567736 18.084804 18.807799
0.850000 17.360705 17.877357 18.470151 18.470928 19.075338 19.641061
0.950000 17.959000 18.673935 19.341567 19.295608 19.914344 20.441683
1.050000 18.679307 19.562672 20.144189 20.104427 20.689297 21.144858
1.150000 19.843176 20.473547 20.931780 20.896211 21.338745 21.681210
1.250000 21.212257 21.439827 21.704972 21.710578 21.969816 22.218989
1.350000 21.868967 22.163277 22.510582 22.533699 22.875890 23.456489
1.450000 22.501994 22.878347 23.289436 23.332583 23.739920 24.338651
1.550000 23.059468 23.510374 24.025459 24.094362 24.677746 25.442311
1.650000 23.660665 24.192644 24.741825 24.868250 25.614291 26.468359
1.750000 24.279156 24.833327 25.484183 25.649062 26.548732 27.541719
1.850000 24.922521 25.500973 26.379208 26.527979 27.569907 28.992613
1.950000 25.562664 26.267790 27.327612 27.515811 28.693160 30.638328
2.050000 26.304863 27.096314 28.284296 28.478068 29.871413 31.815104
