depth(m) lower_95(kyr) lower_68(kyr) median(kyr) mean(kyr) upper_68(kyr) upper_95(kyr)
0.100000 3.285857 3.674320 4.029881 4.031702 4.386806 4.812716
0.180000 6.624845 6.983433 7.261194 7.249780 7.504637 7.832117
0.260000 9.938984 10.381579 10.737062 10.734511 11.072898 11.562193
0.300000 10.863646 11.308965 11.665197 11.669505 12.050918 12.444662
0.340000 12.749142 13.041863 13.294010 13.314842 13.575072 14.036207
0.380000 13.741392 14.108377 14.498688 14.497767 14.881686 15.297542
0.420000 14.837320 15.284467 15.623337 15.612889 15.943297 16.332826
0.740000 20.080425 20.509810 20.842973 20.854693 21.211456 21.694428
0.900000 20.282654 20.639660 20.956960 20.970222 21.299790 21.730323
0.980000 21.264293 21.761276 22.080103 22.059986 22.356722 22.734671
