depth(m) lower_95(kyr) lower_68(kyr) median(kyr) mean(kyr) upper_68(kyr) upper_95(kyr)
0.060000 1.972545 2.365102 2.662157 2.667787 2.979953 3.365002
0.090000 3.048388 3.443574 3.745224 3.752615 4.068561 4.473216
0.170000 8.610543 9.001361 9.315796 9.319640 9.635972 10.082485
0.210000 10.402213 10.823523 11.200625 11.201354 11.578865 12.054788
0.250000 12.992962 13.313899 13.590239 13.625437 13.933259 14.521261
0.290000 13.488175 13.822467 14.171077 14.203768 14.608730 15.039297
0.490000 17.251456 17.689262 18.032806 18.020088 18.355429 18.709747
0.610000 18.973162 19.363501 19.690484 19.693324 20.025905 20.407431
0.730000 20.676595 21.073226 21.435878 21.424764 21.776800 22.126446
0.850000 24.120622 24.562513 24.923371 24.910975 25.256204 25.629030
