depth(m) lower_95(kyr) lower_68(kyr) median(kyr) mean(kyr) upper_68(kyr) upper_95(kyr)
0.055000 2.284064 2.502858 2.761428 2.782092 3.075436 3.357827
0.105000 3.358441 3.605562 3.868851 3.886783 4.170483 4.500800
0.180000 4.291147 4.732557 5.791215 5.796147 6.871428 7.286246
0.255000 7.385824 7.584687 7.799606 7.794651 7.998747 8.262280
0.355000 10.923129 11.289296 11.559354 11.571388 11.882146 12.195764
0.496667 11.659592 12.135957 12.671993 12.668832 13.186054 13.659805
0.638333 12.385578 12.939609 13.528608 13.546658 14.166165 14.796376
0.780000 13.045522 13.709145 14.376280 14.380157 15.008366 15.667175
0.921667 13.879605 14.551401 15.202187 15.184670 15.814943 16.441720
1.063333 14.833212 15.468178 15.999336 15.996198 16.568782 17.037298
1.205000 16.121574 16.503935 16.894835 16.890068 17.262850 17.683408
1.280000 16.786147 17.174170 17.558746 17.550493 17.924425 18.269377
1.355000 17.420866 17.827610 18.215409 18.188103 18.557361 18.883058
1.471667 18.034656 18.469930 18.864539 18.840964 19.199875 19.563144
1.588333 18.774803 19.122927 19.446541 19.441438 19.762734 20.056247
1.705000 19.670761 19.880630 20.102326 20.097998 20.309616 20.526815
1.740000 19.943206 20.167354 20.379504 20.379859 20.587873 20.827491
