depth(m) lower_95(kyr) lower_68(kyr) median(kyr) mean(kyr) upper_68(kyr) upper_95(kyr)
0.305000 4.616021 4.924337 5.165615 5.155018 5.392950 5.592247
0.405000 6.324181 6.489504 6.643722 6.641346 6.793017 6.961109
0.505000 7.727850 7.908182 8.098343 8.095589 8.281434 8.457524
0.575000 8.659915 8.860980 9.050190 9.044664 9.230137 9.408024
0.605000 9.175466 9.377973 9.577838 9.584080 9.793404 10.008593
0.655000 9.932694 10.156973 10.409805 10.433106 10.730810 11.038558
0.675000 10.659555 10.880374 11.208450 11.166766 11.397283 11.603942
0.705000 11.234479 11.444532 11.663003 11.656077 11.853333 12.069045
0.755000 11.919088 12.119878 12.305379 12.296202 12.461798 12.609536
0.805000 12.622389 12.771319 12.926490 12.920930 13.063280 13.229336
0.855000 13.255851 13.405910 13.561249 13.568525 13.738064 13.925686
0.905000 13.600531 13.745771 13.915861 13.921020 14.097160 14.258783
0.955000 13.810775 13.982036 14.171603 14.170423 14.355994 14.550924
1.005000 14.126131 14.315183 14.496429 14.490985 14.669397 14.812099
1.055000 14.518587 14.687740 14.859430 14.850417 15.011308 15.144218
1.105000 14.864768 14.999565 15.140450 15.141092 15.279671 15.428997
1.155000 15.128729 15.248563 15.381950 15.379883 15.516924 15.629458
1.205000 15.335456 15.455441 15.583509 15.587403 15.720210 15.861315
1.255000 15.596645 15.714511 15.844738 15.846773 15.973668 16.115038
1.305000 15.848304 15.985573 16.122539 16.118686 16.254956 16.378761
1.345000 16.078338 16.210005 16.355889 16.358771 16.507824 16.650519
1.405000 16.344836 16.519359 16.699727 16.700126 16.876734 17.043667
1.465000 17.060587 17.221221 17.417908 17.425819 17.623629 17.830387
1.505000 17.386680 17.607944 17.841435 17.841890 18.066987 18.283843
1.605000 17.873622 18.271128 18.660373 18.675261 19.091621 19.499051
1.705000 18.717557 19.080601 19.459548 19.467853 19.881931 20.173932
1.805000 19.939250 20.150393 20.351883 20.353370 20.557820 20.757214
1.825000 20.154883 20.376521 20.585977 20.588824 20.796629 21.034927
1.855000 20.990933 21.293478 21.616085 21.589812 21.875864 22.049608
1.905000 21.792020 22.069703 22.304038 22.290161 22.503587 22.736691
