depth(m) lower_95(kyr) lower_68(kyr) median(kyr) mean(kyr) upper_68(kyr) upper_95(kyr)
0.005000 2.162719 3.219825 4.160193 4.237270 5.385499 6.281595
0.012500 2.294554 3.351720 4.288864 4.366582 5.497294 6.377282
0.017500 2.368431 3.434562 4.367752 4.451544 5.578725 6.456757
0.022500 2.506875 3.506235 4.467751 4.540665 5.645372 6.531760
0.027500 2.582863 3.619760 4.540772 4.630448 5.706225 6.607288
0.032500 2.674943 3.710860 4.624912 4.717774 5.782555 6.689928
0.037500 2.789198 3.807790 4.710902 4.804974 5.869980 6.757017
0.042500 2.873526 3.894846 4.814723 4.894208 5.954769 6.829644
0.047500 3.040482 3.969503 4.913837 4.986433 6.052978 6.893207
0.052500 3.123745 4.080282 5.023705 5.079412 6.150196 6.971030
0.057500 3.212542 4.181707 5.097038 5.172851 6.274177 7.064306
0.062500 3.403494 4.284588 5.204196 5.267711 6.371807 7.105208
0.067500 3.508114 4.405050 5.302409 5.362538 6.443529 7.172831
0.072500 3.606324 4.520241 5.390197 5.460816 6.544669 7.288812
0.077500 3.695569 4.648184 5.498808 5.557556 6.625097 7.373235
0.085000 3.949397 4.782710 5.686591 5.722804 6.759752 7.471635
0.092500 4.111788 4.982140 5.835435 5.889309 6.933474 7.622810
0.097500 4.183759 5.082438 5.955940 5.990151 7.020004 7.708542
0.102500 4.286493 5.163394 6.056183 6.091343 7.111661 7.812936
0.105000 4.328598 5.206825 6.103221 6.140930 7.155399 7.866733
0.107500 4.364215 5.257426 6.159568 6.192685 7.196208 7.896437
0.112500 4.571576 5.397923 6.315538 6.332609 7.296302 7.985251
0.117500 4.674894 5.533335 6.473873 6.470253 7.417963 8.121958
0.122500 4.803976 5.707384 6.642525 6.621445 7.526165 8.252968
0.127500 4.955379 5.841813 6.785311 6.765829 7.675729 8.407050
0.132500 5.113219 6.007502 6.930674 6.920231 7.836111 8.562929
0.137500 5.247705 6.180856 7.073462 7.071447 7.989430 8.725388
0.142500 5.423676 6.348898 7.223872 7.224941 8.126804 8.947422
0.147500 5.577747 6.493290 7.356650 7.387365 8.271375 9.101499
0.152500 5.728307 6.666035 7.533022 7.549036 8.431702 9.234796
