depth(m) lower_95(kyr) lower_68(kyr) median(kyr) mean(kyr) upper_68(kyr) upper_95(kyr)
0.005000 2.045080 3.119504 4.182564 4.211944 5.447567 6.380827
0.045000 2.355522 3.357224 4.390028 4.441702 5.618629 6.529012
0.085000 2.628870 3.637784 4.611092 4.685076 5.849396 6.749309
0.125000 2.884555 3.886867 4.876368 4.934184 6.030808 6.950479
0.165000 3.276158 4.187887 5.136929 5.194709 6.229740 7.193996
0.205000 3.552532 4.477708 5.429505 5.464541 6.513029 7.439094
0.245000 3.960780 4.804036 5.718496 5.738513 6.757496 7.637795
0.285000 4.285354 5.116550 5.989806 6.019543 6.973510 7.903080
0.305000 4.401534 5.263482 6.142592 6.157386 7.088170 8.021367
0.325000 4.573601 5.437982 6.301624 6.308818 7.245881 8.122564
0.365000 4.931413 5.841787 6.662315 6.699980 7.608469 8.500670
0.405000 5.530968 6.331696 7.081695 7.156645 8.033455 8.925282
0.485000 7.900150 8.807366 9.625210 9.554988 10.245469 10.874559
0.525000 8.587758 9.399759 10.113091 10.063134 10.697449 11.337421
0.565000 9.333719 10.054095 10.661495 10.651829 11.230300 12.017417
0.605000 10.272918 10.895201 11.464625 11.469787 12.079551 12.526899
0.645000 11.332966 11.962812 12.493331 12.456750 12.952903 13.422351
0.685000 12.183672 12.648516 13.094791 13.136090 13.664224 14.154512
0.725000 12.682542 13.107999 13.629384 13.620657 14.120483 14.594779
0.765000 13.026889 13.490775 14.044421 14.009914 14.514968 14.848883
0.805000 13.392118 13.895839 14.384000 14.343764 14.786594 15.067894
0.845000 13.817184 14.255220 14.676893 14.641471 15.028452 15.269258
0.885000 14.293133 14.676163 14.978528 14.967752 15.287364 15.525794
0.925000 14.652482 14.979254 15.253601 15.242022 15.529562 15.721356
0.965000 14.935193 15.227769 15.507691 15.478404 15.722945 15.919670
1.005000 15.181241 15.448951 15.695327 15.681462 15.915656 16.112313
1.045000 15.371510 15.644745 15.880880 15.870743 16.096698 16.308855
1.085000 15.596205 15.815758 16.062262 16.057556 16.279932 16.525763
1.125000 15.791753 16.009418 16.243678 16.251112 16.475940 16.766507
1.165000 15.951946 16.189229 16.418516 16.432940 16.667952 16.987332
1.205000 16.117241 16.355272 16.624931 16.630892 16.893625 17.250379
1.245000 16.294373 16.559089 16.835641 16.850808 17.159133 17.490619
1.285000 16.455298 16.722961 17.027487 17.048163 17.386412 17.754739
1.325000 16.594583 16.893824 17.200224 17.235791 17.605793 17.984182
1.365000 16.731696 17.048991 17.384776 17.421719 17.819890 18.250106
1.405000 16.849392 17.191109 17.566583 17.601959 18.039224 18.475532
1.445000 17.003150 17.326549 17.746102 17.773910 18.236011 18.689731
1.485000 17.126165 17.460376 17.916983 17.936926 18.410603 18.875201
1.525000 17.233065 17.602171 18.080730 18.089481 18.575974 19.040779
1.605000 17.459776 17.836997 18.379248 18.368906 18.877570 19.314769
1.645000 17.591505 17.971261 18.527248 18.523719 19.040385 19.460016
1.685000 17.722075 18.132325 18.686265 18.682383 19.194485 19.677883
1.725000 17.861246 18.265561 18.856288 18.839194 19.335136 19.841170
1.765000 17.993980 18.447271 19.011828 18.999729 19.494520 19.995643
1.805000 18.124172 18.632276 19.189511 19.161793 19.675122 20.140181
1.845000 18.279959 18.797761 19.349936 19.322449 19.810194 20.301809
1.885000 18.419914 18.948725 19.516930 19.489404 19.978006 20.503303
1.925000 18.597723 19.140980 19.695539 19.666862 20.167058 20.696105
1.965000 18.830229 19.338117 19.877043 19.847902 20.323579 20.864028
2.005000 19.049946 19.540580 20.069875 20.049724 20.542990 21.067395
